"FID","IID","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","Cluster_2PC","Cluster_3PC"
"QBC-092","QBC-092",0.0225201,0.0442315,-0.00487367,0.00490228,0.0131697,-0.0671363,-0.0742962,0.000468466,0.0332261,0.0084436,"4","4"
"QBC-256","QBC-256",-0.040295,-0.00718947,-0.074449,0.010227,0.0114685,0.0343279,0.0251482,-0.00717458,0.00262225,-0.00796699,"1","3"
"QBC-107","QBC-107",-0.0376606,-0.0167311,-0.0817601,-0.00958915,0.00929524,0.0483008,0.0356594,-0.0572982,0.00803714,0.0111026,"1","3"
"QBC-171","QBC-171",-0.0178054,0.0486805,0.16434,-0.0060095,0.00361752,0.110524,-0.0258518,-0.00840664,-0.0287436,-0.0546505,"4","4"
"QPRC-110","QPRC-110",-0.021054,0.122797,0.0351536,-0.0523176,-0.00309511,-0.111278,0.00238841,-0.0383141,0.0113713,0.0258377,"3","4"
"QBC-240","QBC-240",0.0530875,0.0856745,0.0665895,-0.00344675,0.052523,0.155597,-0.0049326,0.142902,0.0750872,-0.0965552,"4","4"
"QPRC-019","QPRC-019",-0.0801838,-0.1323,0.208543,0.0104853,-0.0111158,0.00349901,0.0404349,-0.063007,0.0374451,0.0722854,"2","1"
"QBC-183","QBC-183",-0.0538848,-0.0483725,-0.0326797,-0.0338038,0.00737427,-0.026136,-0.0289784,0.0490246,-0.0353871,-0.0242088,"1","3"
"QBC-086","QBC-086",-0.0122107,0.113644,0.0166284,-0.0205321,-0.0354971,-0.0958188,0.036318,0.014029,0.0316237,-0.0222318,"3","4"
"QPRC-039","QPRC-039",0.0334873,0.0452515,-0.00426032,0.0207638,0.041502,-0.0900253,-0.0228396,0.0526236,-0.0282162,0.0884795,"4","4"
"QBC-232","QBC-232",-0.0347276,0.00347635,-0.0713802,0.0066288,0.00788532,0.0520057,0.0218114,-0.0538764,-0.0192369,0.0351729,"1","3"
"QPRC-104","QPRC-104",-0.0186145,-0.00727156,-0.0424673,-0.0159556,0.0262971,-0.0468286,-0.0665818,0.0718111,-0.0447772,0.0138801,"1","3"
"QBC-119","QBC-119",0.169699,-0.00493554,0.0538871,0.0771499,0.0969392,-0.0352233,-0.0213314,0.0342897,-0.0734233,0.134938,"5","2"
"QBC-269","QBC-269",-0.07,-0.104933,0.123137,0.0105495,-0.0107573,-0.031799,0.0297424,0.0192791,0.0242625,-0.0129874,"2","1"
"QBC-247","QBC-247",0.125934,0.0617749,0.0822893,0.022213,0.0922307,0.156598,-0.00503237,0.0149627,-0.0676665,0.108826,"4","4"
"QBC-031","QBC-031",-0.0258226,-0.0084367,-0.0398137,-0.0112044,0.024149,-0.0109619,-0.0526947,0.133754,-0.0485718,0.00182782,"1","3"
"QBC-268","QBC-268",0.283988,-0.114382,0.00752979,-0.0132261,-0.0622383,0.0281712,0.0727292,-0.160009,0.310062,0.102758,"5","2"
"QBC-173","QBC-173",-0.047342,-0.0175501,-0.0737857,-0.0243636,0.01318,0.00762643,-0.0638246,0.124665,-0.0290563,-0.0342316,"1","3"
"QBC-210","QBC-210",0.249387,-0.0808646,0.0311693,0.188148,0.233039,-0.0182519,0.0418837,-0.0734651,0.0238013,0.406065,"5","2"
"QPRC-108","QPRC-108",-0.0167289,0.114283,0.0123981,-0.0314904,-0.00361198,-0.115077,-0.00540701,-0.043916,0.0460191,0.0193024,"3","4"
"QPRC-115","QPRC-115",-0.055332,-0.0472587,-0.0611903,-0.00773764,0.0310223,0.0583219,-0.0184496,0.0588374,-0.0082058,0.0065761,"1","3"
"QIGR-005","QIGR-005",-0.036887,0.000619337,-0.07333,0.0130894,0.00510067,0.0511535,0.0126333,-0.0485873,0.0199169,0.0293185,"1","3"
"QBC-264","QBC-264",-0.0485842,-0.0105262,-0.0668384,0.0152158,-0.0125424,0.0140948,0.0170166,-0.0154829,-0.0471533,-0.0350118,"1","3"
"QBC-286","QBC-286",-0.0698188,-0.105382,0.122124,0.0188795,0.0169717,0.00704265,-0.028112,-0.0159362,0.039405,0.00242065,"2","1"
"QPRC-012","QPRC-012",-0.0147904,0.111956,0.0209741,-0.0311515,-0.0209613,-0.12699,-0.0291728,-0.0412839,0.0141743,-0.0138445,"3","4"
"QPRC-106","QPRC-106",0.0148582,-0.00805555,-0.0554688,0.0319003,0.0367404,0.0586714,0.0344051,-0.0630775,-0.0373344,0.0413768,"4","3"
"QBC-205","QBC-205",-0.016654,0.128468,0.0387106,-0.08231,-0.00158279,-0.16169,0.852019,0.0714129,-0.2793,0.0360283,"3","4"
"QBC-046","QBC-046",-0.0408665,-0.0287559,-0.07473,0.000898622,-0.00134789,0.0562503,0.0223501,-0.0373542,0.0940077,0.0270243,"1","3"
"QBC-018","QBC-018",0.145232,-0.00520326,0.0197851,0.063837,0.090328,-0.0605597,0.04137,-0.0503965,-0.0381893,-0.0460651,"5","2"
"QBC-170","QBC-170",0.0434512,0.0896969,0.0264568,-0.00748094,0.0411711,-0.1242,-0.0426776,0.00313985,0.0890705,0.018184,"3","4"
"QBC-174","QBC-174",-0.048229,-0.0222899,-0.0667236,-0.00201762,0.00379653,-0.0152201,-0.0178903,0.0680351,-0.0398915,-0.025947,"1","3"
"QBC-035","QBC-035",-0.0580138,-0.0471362,-0.0696081,-0.0246982,0.0154528,0.0466292,-0.0290485,0.0494018,-0.0143347,-0.00555518,"1","3"
"QBC-064","QBC-064",-0.00414952,0.00931986,-0.066232,0.00286578,0.0142051,-0.000213101,0.0201454,-0.0452775,0.0183308,-0.0138604,"4","3"
"QBC-179","QBC-179",0.178339,-0.0523854,-0.0118089,0.0450447,0.13279,0.0671114,0.0267607,-0.0740587,-0.210409,-0.522207,"5","2"
"QBC-280","QBC-280",-0.0696124,-0.105417,0.135207,0.0100794,0.00125401,-0.0228179,-0.0185066,0.0373836,-0.013552,-0.0420067,"2","1"
"QBC-166","QBC-166",0.00836348,0.017779,-0.0157423,-0.000615899,0.0104379,-0.128837,-0.0503072,-0.0125017,0.00291835,-0.0179556,"4","3"
"QBC-267","QBC-267",-0.052577,-0.0439023,-0.107842,-0.0150745,0.0466109,0.0887638,-0.0546769,0.131535,0.00240988,0.016071,"1","3"
"QBC-015","QBC-015",-0.0160212,0.108799,0.0220426,-0.0382888,-0.00860116,-0.104495,-0.0520252,-0.0140345,-0.000121767,-0.0422569,"3","4"
"QPRC-101","QPRC-101",-0.0371068,-0.0198366,-0.0705639,-0.00764574,-0.00207401,-0.0173448,-0.00284066,0.0400063,-0.00321657,-0.000784655,"1","3"
"QBC-242","QBC-242",0.0257615,0.21891,0.161985,-0.0443867,0.000410908,0.245808,0.00773954,0.0402501,0.0243465,-0.0148846,"3","5"
"QBC-241","QBC-241",0.0289203,0.225099,0.171368,-0.0559698,0.00250924,0.286957,-0.0270274,0.0488191,-0.0160456,0.0124665,"3","5"
"QBC-038","QBC-038",0.0715688,0.113762,0.100071,-0.0122056,0.0385193,0.150032,0.0528898,0.0745794,-0.0170212,-0.0493465,"3","4"
"QBC-008","QBC-008",-0.00474174,0.0236528,-0.0470103,-0.028863,0.0193844,-0.0194222,0.00414361,0.0667944,0.000988029,-0.000487665,"4","3"
"QBC-229","QBC-229",-0.0397734,-0.0282186,-0.0411551,-0.0103546,0.00610394,-0.00208291,-0.0185027,0.0641465,-0.00325073,-0.0172015,"1","3"
"QPRC-047","QPRC-047",-0.0171663,0.0408123,-0.036653,-0.0265669,0.00484685,-0.0969807,-0.0580792,0.0415153,-0.0186129,-0.0242887,"4","3"
"QBC-080","QBC-080",-0.0479327,-0.0167653,-0.100662,-0.00511661,0.0108717,0.0710794,-0.00929441,-0.062107,-0.00715843,-0.00315201,"1","3"
