"Sample","Missing_Proportion"
"QBC-092",0
"QBC-256",0
"QBC-107",0
"QBC-171",0
"QPRC-110",0
"QBC-240",0
"QPRC-019",0
"QBC-183",0
"QBC-086",0
"QPRC-039",0
"QBC-232",0
"QPRC-104",0
"QBC-119",0
"QBC-269",0
"QBC-247",0
"QBC-031",0
"QBC-268",0
"QBC-173",0
"QBC-210",0
"QPRC-108",0
"QPRC-115",0
"QIGR-005",0
"QBC-264",0
"QBC-286",0
"QPRC-012",0
"QPRC-106",0
"QBC-205",0
"QBC-046",0
"QBC-018",0
"QBC-170",0
"QBC-174",0
"QBC-035",0
"QBC-064",0
"QBC-179",0
"QBC-280",0
"QBC-166",0
"QBC-267",0
"QBC-015",0
"QPRC-101",0
"QBC-242",0
"QBC-241",0
"QBC-038",0
"QBC-008",0
"QBC-229",0
"QPRC-047",0
"QBC-080",0
"QPRC-008",0
"QBC-260",0
"QBC-298",0
"QBC-095",0
"QPRC-064",0
"QBC-003",0
"QBC-294",0
"QBC-270",0
"QBC-058",0
"QBC-207",0
"QPRC-005",0
"QBC-243",0
"QBC-049",0
"QIGR-026",0
"QBC-239",0
"QBC-200",0
"QBC-051",0
"QBC-178",0
"QBC-017",0
"QBC-139",0
"QBC-062",0
"QPRC-059",0
"QBC-252",0
"QPRC-025",0
"QBC-078",0
"QBC-262",0
"QBC-204",0
"QPRC-010",0
"QPRC-021",0
"QPRC-096",0
"QPRC-116",0
"QBC-251",0
"QBC-213",0
"QBC-303",0
"QBC-002",0
"QBC-263",0
"QPRC-060",0
"QBC-023",0
"QBC-255",0
"QPRC-102",0
"QPRC-003",0
"QPRC-006",0
"QPRC-041",0
"QBC-203",0
"QBC-223",0
"QBC-246",0
"QBC-284",0
"QBC-289",0
"QPRC-048",0
"QBC-272",0
"QBC-167",0
"QBC-105",0
"QBC-141",0
"QBC-261",0
"QBC-299",0
"QBC-192",0
"QBC-001",0
"QBC-287",0
"QBC-036",0
"QBC-254",0
"QBC-053",0
"QPRC-009",0
"QBC-257",0
"QBC-212",0
"QBC-165",0
"QPRC-007",0
"QBC-054_r1",0
"QBC-258",0
"QPRC-120",0
"QBC-222",0
"QBC-233",0
"QBC-043",0
"QBC-024",0
"QPRC-111",0
"QBC-020",0
"QBC-244",0
"QBC-206",0
"QBC-216",0
"QPRC-013",0
"QBC-014",0
"QBC-285",0
"QIGR-009",0
"QBC-126",0
"QBC-016",0
"QPRC-004",0
"QBC-077",0
"QBC-228",0
"QBC-201",0
"QBC-276",0
"QPRC-042",0
"QBC-159",0
"QBC-044",0
"QPRC-105",0
"QBC-296",0
"QBC-209",0
"QBC-250",0
"QBC-235",0
"QBC-265",0
"QBC-113",0
"QBC-019",0
"QBC-277",0
"QPRC-095",0
"QBC-068",0
"QIGR-042",0
"QBC-288",0
"QBC-211",0
"QBC-104",0
"QPRC-098",0
"QBC-278",0
"QBC-197",0
