"Metabolite","Beta","SE","P_value","Bonferroni_Significant","Neg_Log10_P"
"Anhydroglucitol_1_5",-1.37528954939972,0.127957514175593,2.82291039323372e-20,"Y",19.5493029073089
"Mannose",1.22891555241687,0.137490078906514,1.46536181118043e-15,"Y",14.8340551308056
"Citrulline",-1.08172099467059,0.146887009080525,1.14976656878672e-11,"Y",10.9393903232796
"Enyl_palmitoyl_GPC",-0.997068064400547,0.150449706730288,5.96248086827406e-10,"Y",9.224573001464
"Palmitoylcholine",-0.953225496456847,0.150718004485889,2.84227039421383e-09,"Y",8.54633460862915
"Arachidonoylcholine",-0.942681619553821,0.152210926009734,5.529279041383e-09,"Y",8.25733149234108
"Glucose",0.859745869873203,0.154966785004765,1.29711397411201e-07,"Y",6.88702186188568
"Gluconate",0.839769567826347,0.154133493417704,2.07286878511089e-07,"Y",6.6834281883576
"S_adenosylhomocysteine",0.796974720410246,0.153992336736172,7.28946738447404e-07,"Y",6.13730420288014
"Oleoylcholine",-0.786604027253191,0.151993289278468,7.29485884424861e-07,"Y",6.13698310730131
"Arabonate_xylonate",0.792324487283893,0.153854431458062,8.1845626873991e-07,"Y",6.08700452059208
"Hydroxydecanoate_3",0.809761013231347,0.157581941519211,8.60789489124505e-07,"Y",6.06510304470173
"Leucylalanine",-0.767299191364154,0.158238735919825,3.10713245470275e-06,"Y",5.50764023270564
"Ribonate",0.762380195293334,0.158133129460602,3.50655589657426e-06,"Y",5.4551192337992
"Bromotryptophan_5",-0.749689961091821,0.155821171502397,3.66021731796583e-06,"Y",5.43649312848769
"Hydroxyoctanoate_3",0.758136478269095,0.158247411680853,3.997200189329e-06,"Y",5.39824410069066
"Dihomo_linolenoyl_choline",-0.739977061194029,0.155718703210785,4.72365654122829e-06,"Y",5.32572168761907
"Enyl_palmitoyl_GPE",-0.746221833173896,0.160009009254744,6.88561238236003e-06,"Y",5.16205742905224
"Sphingomyelin_d18_1_24_1",-0.735784116763331,0.157996283093229,7.08236570974497e-06,"Y",5.14982165148026
"Stearoyl_GPI",-0.731469112608407,0.159275433608358,9.29358618473816e-06,"Y",5.03181666924534
"Enyl_oleoyl_GPE",-0.687979125124384,0.15604407421583,1.9861393057531e-05,"Y",4.70199029380734
"Malate",0.671264473156196,0.159067864365471,4.24273540105818e-05,"Y",4.37235405224083
"Enyl_palmitoyl_palmitoleoyl_GPC",-0.648086537901384,0.155248109571347,5.07564651552918e-05,"Y",4.29450863119922
"Hydroxybutyrate_3",0.66464797812385,0.162501538578978,7.05438615181235e-05,"Y",4.15154077106331
"Methylguanine_7",-0.640429478393715,0.157573203033778,7.79287077459929e-05,"Y",4.1083025253961
"Lactosyl_N_palmitoyl_sphingosine",-0.650491585203663,0.161526335120112,8.98927881337207e-05,"Y",4.04627514919408
"N_acetylmethionine",-0.639941064546511,0.160176926632612,0.000101554121222082,"Y",3.99330244756502
"Fibrinogen_cleavage_peptide",-0.641074821599685,0.161262783139031,0.000109522119698041,"Y",3.96049815942982
"Inosine",-0.616617564275064,0.160794400404724,0.000185417996155981,"Y",3.73184811672904
"Docosahexaenoylcholine",-0.607402479137849,0.161805208274178,0.000249529781188824,"Y",3.60287761423249
"Enyl_palmitoyl_oleoyl_GPC",-0.600089897393886,0.161023161700756,0.000275427040500053,"Y",3.55999342441507
"Glutamate",0.600058759014304,0.161049946269259,0.000276239652556886,"Y",3.55871398089637
"Guanidinoacetate",-0.602910974751119,0.162252264618187,0.000286452379378502,"Y",3.54294756599017
"N_acetyltaurine",-0.587365173642109,0.162234171312429,0.000403161000020127,"N",3.39452148622338
"Sphingomyelin_d18_1_20_1",-0.569106660601406,0.160968265540892,0.000543605894064528,"N",3.26471584306202
"Linoleoyl_GPC",-0.577618812871807,0.163812827428598,0.000561765492941574,"N",3.25044494132761
"Sphingomyelin_d18_1_22_1",-0.561181561678074,0.159179668198165,0.000562999111185326,"N",3.24949229077496
"Glutamine",-0.575142618581169,0.164211567047209,0.00060982957539745,"N",3.21479151712963
"Enyl_palmitoyl_palmitoyl_GPC",-0.556192139124723,0.162590501880087,0.000807184431847081,"N",3.09302722292093
"Sphingomyelin_d18_2_23_0",-0.546316914053996,0.164607185751851,0.00113767472289959,"N",2.94398189105417
"Stearoyl_GPC",-0.521526711795622,0.163187946419118,0.00170439566645236,"N",2.7684295786949
"Sphingomyelin_d18_2_24_1",-0.514447920155503,0.162440185132719,0.00187088724234975,"N",2.72795238647165
"Fructose",0.516773646333974,0.16539530037526,0.00214379138290995,"N",2.66881747908151
"Hydroxybutyrate_hydroxyisobutyrate_2",0.504812266815319,0.16329873017049,0.0023815087768226,"N",2.62314781359871
"Enyl_palmitoyl_linoleoyl_GPC",-0.500198907842283,0.163595680181071,0.00264902331980129,"N",2.576914218518
"Gamma_glutamylalanine",-0.491147231438814,0.164174189667407,0.00325186465319045,"N",2.48786753859942
"Tyrosine",-0.463693101721275,0.160535453628575,0.00445341160191525,"N",2.35130716379993
"Palmitoyl_oleoyl_GPE",0.477365216798126,0.165389940428374,0.00448180863570823,"N",2.34854669091345
"Aspartate",0.467033690981806,0.163999612123507,0.0050292057342536,"N",2.29850059793972
"Sphingomyelin_d18_2_14_0",-0.463502248327786,0.163989155998548,0.00535824615989531,"N",2.27097733861349
"Deoxyuridine_2",-0.451804918780684,0.1651562603958,0.00698803529766874,"N",2.15564490999362
"Erythronate",0.453889035262194,0.166179204153155,0.00707531867338182,"N",2.15025399467654
"Cys_gly_oxidized",-0.449655553035678,0.165838884413161,0.00749294271631445,"N",2.12534758757855
"Palmitoyl_linoleoyl_glycerol",0.44301875644376,0.166808777753703,0.00877796324367621,"N",2.05660624202625
"Dihydroorotate",-0.434666230765047,0.166712950742393,0.0100611049348256,"N",1.99735432139276
"Hydroxylaurate_3",0.404002949942415,0.167021647324095,0.0167829625267724,"N",1.7751313751243
"Pipecolate",0.405298818717717,0.168802146336805,0.0175904840797977,"N",1.75472220884884
"Hydroxymyristate_3",0.381388814037666,0.158874818167435,0.0176120833839564,"N",1.75418926705157
"Pyroglutamine",-0.396975632592193,0.165818396494724,0.0179162168971005,"N",1.74675368854463
"Sphingosine",0.389655562649612,0.167335171196221,0.0212341590009375,"N",1.67296493497869
"Cytidine",-0.380798671005124,0.166826866475649,0.0238787379356359,"N",1.62198863072832
"Cysteine_glutathione_disulfide",-0.36526888071416,0.16508565286094,0.0284567378414607,"N",1.54581488705757
"Oxalate",-0.360215805101131,0.166126995055116,0.0317325074929533,"N",1.49849560872764
"Distearoyl_GPC",-0.362706665056036,0.169296782405278,0.0337945961861769,"N",1.47115273860243
"Sphingomyelin_d18_2_16_0",-0.348702896902952,0.16484454319894,0.0360753851180732,"N",1.44278902395557
"GPC",-0.342260138815066,0.165017298080311,0.0398036861764169,"N",1.40007670652062
"Cysteinylglycine",0.326864932454768,0.163533702188545,0.0474654026625311,"N",1.32362283053112
"Lysine",-0.325273580596759,0.167676820456729,0.0542953109651807,"N",1.26523767519715
"Palmitoyl_dihydrosphingomyelin",-0.323157548567557,0.16783040277105,0.0560843536603595,"N",1.25115828075322
"Aminoisobutyrate_3",-0.294320845872321,0.164254357050633,0.0751984812950724,"N",1.12379093031035
"Tryptophan",0.288694343592163,0.167038783923916,0.0860187769136523,"N",1.06540673689734
"Threonine",0.267716625601518,0.161874892436318,0.100277665851519,"N",0.998795783604957
"Taurine",-0.271878985451302,0.166004737760232,0.103592303740544,"N",0.984672508752672
"Asparagine",0.263508823777605,0.168766476002881,0.120569587952628,"N",0.918762223290058
"Palmitoyl_sphingomyelin",-0.242508546770075,0.165302730859861,0.144482277161078,"N",0.840185422133718
"Salicylate",-0.247300881092718,0.16882630143361,0.145089885763746,"N",0.838362861236235
"Cholesterol",0.245392963265595,0.169211086875032,0.149113694288958,"N",0.826482470021026
"Stearate",0.239163116344649,0.164930554543476,0.149151072912037,"N",0.826373618211396
"Homocysteine",0.240784169081813,0.167505097207973,0.152694349037335,"N",0.816177035159132
"Palmitoyl_arachidonoyl_GPE",0.238620165899368,0.168803482716538,0.159580053454883,"N",0.797021393786328
"Citrate",0.236224409626274,0.168795497345644,0.163764253107733,"N",0.785780891173386
"Propionylcarnitine",0.232558748505855,0.169341790563995,0.171732934719337,"N",0.765146408419498
"Acetylcarnitine",-0.232388338252587,0.169978611253949,0.173647350798478,"N",0.760331837993178
"Gamma_glutamylglutamate",-0.232553817847426,0.170493778975831,0.174637790795546,"N",0.757861771179886
"Glycocholate",0.226508944464984,0.169463463219711,0.183396511510363,"N",0.736608929550451
"Arginine",0.211435629330154,0.167845613186179,0.209759371767133,"N",0.678278626371364
"Glycine",0.212316363033071,0.17079222341722,0.215786902053313,"N",0.665974919887605
"Ornithine",-0.202063616703287,0.166004885458915,0.225459789099519,"N",0.646930903583805
"Hypoxanthine",-0.193672601545767,0.167860695577389,0.250454348250675,"N",0.601271423927027
"Oleate",0.182935617158461,0.160277833939376,0.255561175707611,"N",0.592505122566219
"Succinate",0.182132750392225,0.163829013903984,0.268059237287632,"N",0.571769222447539
"Allantoin",-0.180292942676954,0.165617452454988,0.278095063225437,"N",0.555806720711466
"Uric_acid",-0.173733430284386,0.16761897722975,0.301669572117517,"N",0.520468492701657
"Adenosine",0.164157330316568,0.166987803846433,0.327187228986663,"N",0.48520365637255
"Alpha_tocopherol",-0.161949530992798,0.171177027226271,0.345642813604543,"N",0.461372468274782
"Carnitine",-0.14882207844827,0.168903504514546,0.37968849448539,"N",0.420572562873933
"Thiamine",-0.145497896226151,0.165335644907919,0.380277726804409,"N",0.419899110847202
"Pyridoxal",0.144801995908547,0.167526851684312,0.388793859535226,"N",0.410280602776181
"Leucine",-0.138993346045699,0.170482827863762,0.416215074384092,"N",0.380682194659534
"Linoleate",0.126770091884269,0.16601141924189,0.446307706014297,"N",0.350365614502526
"Histidine",0.115288867700914,0.167259537467038,0.491725517697337,"N",0.308277253764774
"Pyruvate",0.113345282883461,0.168849390683473,0.503088296718732,"N",0.298355785495943
"Eicosapentaenoate",-0.108166388393766,0.166388802670343,0.516646965653004,"N",0.286806116945469
"Caffeine",0.108430638360804,0.170643698183916,0.526134929511279,"N",0.278902864919352
"Theobromine",-0.104878487258642,0.166354729917475,0.529371887308459,"N",0.27623912595683
"Fumarate",0.106308216146527,0.169646853819652,0.531857885554422,"N",0.274204397337703
"Deoxycholate",0.105658781095383,0.170276247424157,0.535873845326278,"N",0.270937439275976
"Alpha_ketoglutarate",0.103100038443885,0.169854589689217,0.544787608718587,"N",0.263772779080481
"Proline",0.0963105404872994,0.17040654285336,0.572806400427783,"N",0.241992137950658
"Pantothenate",-0.0859280380452907,0.169315554696617,0.612557838206264,"N",0.21285289859132
"Palmitate",-0.0810424444884301,0.170535909783744,0.635329214492828,"N",0.19700117394018
