"Metabolite","Diabetes_Label","Mean","SD"
"Acetylcarnitine","Non-Diabetic",0.132874919881016,1.0065644369631
"Acetylcarnitine","Diabetic",-0.0786402587050912,0.992856466054518
"Adenosine","Non-Diabetic",-0.105177953041758,1.1053529143347
"Adenosine","Diabetic",0.0622481762900203,0.932438097240547
"Alanine","Non-Diabetic",0.0394489915649506,0.987998762527399
"Alanine","Diabetic",-0.023347362354766,1.01135945415546
"Allantoin","Non-Diabetic",0.06603961288108,1.08065203749086
"Allantoin","Diabetic",-0.0390846688479861,0.952653589813833
"Alpha_ketoglutarate","Non-Diabetic",-0.0601548739549399,0.884707520693845
"Alpha_ketoglutarate","Diabetic",0.0356018641774135,1.06515370731199
"Alpha_tocopherol","Non-Diabetic",0.0982458655201691,1.03302926173555
"Alpha_tocopherol","Diabetic",-0.0581455122466307,0.980644235263638
"Aminoisobutyrate_3","Non-Diabetic",0.204632236651596,0.974499461816373
"Aminoisobutyrate_3","Diabetic",-0.121108874752985,1.00002000944437
"Anhydroglucitol_1_5","Non-Diabetic",0.859039165045585,0.834590042973762
"Anhydroglucitol_1_5","Diabetic",-0.508410934414734,0.697306926402669
"Arabonate_xylonate","Non-Diabetic",-0.45482997819121,0.885163632209922
"Arabonate_xylonate","Diabetic",0.269185089133573,0.969855163476379
"Arachidonate","Non-Diabetic",0.00719516206332135,1.08101644409367
"Arachidonate","Diabetic",-0.00425836122114903,0.95456157548836
"Arachidonoylcholine","Non-Diabetic",0.593181562339664,0.910894301624383
"Arachidonoylcholine","Diabetic",-0.351066638935719,0.880598808758275
"Arginine","Non-Diabetic",-0.155739903367342,0.999731223487255
"Arginine","Diabetic",0.0921725958704677,0.993749870111306
"Ascorbate","Non-Diabetic",-0.00561566007940459,1.05129169012743
"Ascorbate","Diabetic",0.00332355392454542,0.973885183505897
"Asparagine","Non-Diabetic",-0.159367683108319,0.984663215045908
"Asparagine","Diabetic",0.0943196491865562,1.00200866047237
"Aspartate","Non-Diabetic",-0.289612047960766,0.895023613419668
"Aspartate","Diabetic",0.171403048793106,1.02341285299711
"Bromotryptophan_5","Non-Diabetic",0.466214407114639,0.861648065837225
"Bromotryptophan_5","Diabetic",-0.27592281237397,0.977126837608156
"Caffeine","Non-Diabetic",-0.0799539459001147,0.971735779189734
"Caffeine","Diabetic",0.0473196822674144,1.01831868774139
"Carnitine","Non-Diabetic",0.108408889607945,1.01574378399721
"Carnitine","Diabetic",-0.0641603632373555,0.990189057433522
"Cholate","Non-Diabetic",0.0252629596431466,1.00335079355777
"Cholate","Diabetic",-0.0149515475439029,1.00287445214097
"Cholesterol","Non-Diabetic",-0.140769722420005,0.926524408928256
"Cholesterol","Diabetic",0.0833126928608191,1.03664277961659
"Choline","Non-Diabetic",-0.058890606514005,0.910472425823548
"Choline","Diabetic",0.0348536242633911,1.05238599723553
"Citrate","Non-Diabetic",-0.155426424998406,0.986527377606668
"Citrate","Diabetic",0.0919870678561996,1.00152032009788
"Citrulline","Non-Diabetic",0.669756663129941,0.825608120909234
"Citrulline","Diabetic",-0.396386596546291,0.877742418901812
"Cys_gly_oxidized","Non-Diabetic",0.272384899042719,1.00959734559065
"Cys_gly_oxidized","Diabetic",-0.161207389229364,0.963512800221962
"Cysteine_glutathione_disulfide","Non-Diabetic",0.233990016436489,1.01316785266005
"Cysteine_glutathione_disulfide","Diabetic",-0.138483887278738,0.970885350508578
"Cysteinylglycine","Non-Diabetic",-0.174919150209382,0.964693325504971
"Cysteinylglycine","Diabetic",0.103523578695349,1.01091475825353
"Cystine","Non-Diabetic",-0.0283711788046021,1.07071431425886
"Cystine","Diabetic",0.0167911058231317,0.960987588246591
"Cytidine","Non-Diabetic",0.251316221152802,0.996787728550279
"Cytidine","Diabetic",-0.148738171702679,0.976709611903502
"Deoxycholate","Non-Diabetic",-0.0486691939165851,0.99827942625166
"Deoxycholate","Diabetic",0.0288042168077747,1.00502491991413
"Deoxyuridine_2","Non-Diabetic",0.285954530886369,1.00977901249492
"Deoxyuridine_2","Diabetic",-0.169238395830708,0.959650934648326
"Dihomo_linolenoyl_choline","Non-Diabetic",0.453563079710687,0.852848806307605
"Dihomo_linolenoyl_choline","Diabetic",-0.268435292073672,0.987277958233818
"Dihydroorotate","Non-Diabetic",0.272841879454831,0.908741737784717
"Dihydroorotate","Diabetic",-0.161477847024288,1.02069163165346
"Distearoyl_GPC","Non-Diabetic",0.210770507986171,0.901418581886011
"Distearoyl_GPC","Diabetic",-0.124741729216305,1.03835122021306
"Docosahexaenoate","Non-Diabetic",-0.0106596399950941,0.996027015710985
"Docosahexaenoate","Diabetic",0.00630876652770873,1.00740316162184
"Docosahexaenoylcholine","Non-Diabetic",0.371648909426424,0.971753139249885
"Docosahexaenoylcholine","Diabetic",-0.219955477007476,0.954761552898645
