"Metabolite","N","Beta","SE","CI_low","CI_high","P_value","FDR_q_value","Bonferroni_significant","FDR_significant","Direction"
"Anhydroglucitol_1_5",156,-1.37528448899077,0.127935922493805,-1.62603889707862,-1.12453008090291,2.79258432087461e-20,3.79791467638947e-18,TRUE,TRUE,"Lower in diabetes"
"Mannose",156,1.22982019730751,0.137368285781529,0.960578357175712,1.4990620374393,1.34559709815676e-15,9.15006026746594e-14,TRUE,TRUE,"Higher in diabetes"
"Citrulline",156,-1.08176257035268,0.14686744342687,-1.36962275946935,-0.793902381236018,1.14182259580949e-11,5.17626243433637e-10,TRUE,TRUE,"Lower in diabetes"
"Enyl_palmitoyl_GPC",156,-0.998114613258467,0.150411262514096,-1.29292068778609,-0.70330853873084,5.69906474234638e-10,1.93768201239777e-08,TRUE,TRUE,"Lower in diabetes"
"Palmitoylcholine",156,-0.953835611389226,0.150701500791444,-1.24921055294046,-0.658460669837996,2.77440353527384e-09,7.54637761594485e-08,TRUE,TRUE,"Lower in diabetes"
"Arachidonoylcholine",156,-0.943644124776874,0.152211668526176,-1.24197899508818,-0.645309254465569,5.35662823714815e-09,1.21416906708691e-07,TRUE,TRUE,"Lower in diabetes"
"Glucose",156,0.859188816483363,0.154948401515217,0.555489949513538,1.16288768345319,1.31526296797247e-07,2.55536805206079e-06,TRUE,TRUE,"Higher in diabetes"
"Gluconate",156,0.840728879983233,0.154159223782093,0.538576801370332,1.14288095859613,2.0219385702798e-07,3.43729556947566e-06,TRUE,TRUE,"Higher in diabetes"
"S_adenosylhomocysteine",156,0.797643965459895,0.154072330904552,0.495662196886973,1.09962573403282,7.23491746077868e-07,9.96889144888215e-06,TRUE,TRUE,"Higher in diabetes"
"Oleoylcholine",156,-0.786234921313793,0.15195315260451,-1.08406310041863,-0.488406742208954,7.33006724182511e-07,9.96889144888215e-06,TRUE,TRUE,"Lower in diabetes"
"Arabonate_xylonate",156,0.792749261718542,0.153841865172106,0.491219205981215,1.09427931745587,8.06768619638567e-07,9.9745938428041e-06,TRUE,TRUE,"Higher in diabetes"
"Hydroxydecanoate_3",156,0.808824150272446,0.157638541005106,0.499852609902439,1.11779569064245,8.91569899423366e-07,1.01044588601315e-05,TRUE,TRUE,"Higher in diabetes"
"Leucylalanine",156,-0.76825818498682,0.1582341223674,-1.07839706482692,-0.458119305146716,3.02443638435483e-06,3.16402575594043e-05,TRUE,TRUE,"Lower in diabetes"
"Ribonate",156,0.762831173380296,0.158116574186085,0.452922687975569,1.07273965878502,3.45592820224787e-06,3.29764362357661e-05,TRUE,TRUE,"Higher in diabetes"
"Bromotryptophan_5",156,-0.749760483684099,0.155788417823885,-1.05510578261891,-0.444415184749283,3.63710693776832e-06,3.29764362357661e-05,TRUE,TRUE,"Lower in diabetes"
"Hydroxyoctanoate_3",156,0.756548322834255,0.158273650194498,0.446331968453039,1.06676467721547,4.18817839954643e-06,3.55995163961447e-05,TRUE,TRUE,"Higher in diabetes"
"Dihomo_linolenoyl_choline",156,-0.740717339729691,0.155625684781834,-1.04574368190209,-0.435690997557296,4.57210179861886e-06,3.65768143889509e-05,TRUE,TRUE,"Lower in diabetes"
"Enyl_palmitoyl_GPE",156,-0.746940763134945,0.159988174911637,-1.06051758596175,-0.433363940308137,6.7383415977292e-06,5.02423903249043e-05,TRUE,TRUE,"Lower in diabetes"
"Sphingomyelin_d18_1_24_1",156,-0.736095796690576,0.157991370198023,-1.0457588822787,-0.426432711102451,7.01915747186163e-06,5.02423903249043e-05,TRUE,TRUE,"Lower in diabetes"
"Stearoyl_GPI",156,-0.731441203653915,0.159235656657777,-1.04354309070316,-0.419339316604672,9.25578247759287e-06,6.29393208476315e-05,TRUE,TRUE,"Lower in diabetes"
"Enyl_oleoyl_GPE",156,-0.688640527729875,0.156035535334558,-0.994470176985608,-0.382810878474141,1.9501632540744e-05,0.000126296286930532,TRUE,TRUE,"Lower in diabetes"
"Malate",156,0.670899780051931,0.159024331542223,0.359212090229175,0.982587469874688,4.26188476873233e-05,0.000263461967521635,TRUE,TRUE,"Higher in diabetes"
"Enyl_palmitoyl_palmitoleoyl_GPC",156,-0.647727474593906,0.155176665983998,-0.951873739922542,-0.34358120926527,5.08346539488221e-05,0.000300587519001731,TRUE,TRUE,"Lower in diabetes"
"Hydroxybutyrate_3",156,0.663977208776897,0.162497950621323,0.345481225559104,0.98247319199469,7.16548550328175e-05,0.000406044178519299,TRUE,TRUE,"Higher in diabetes"
"Methylguanine_7",156,-0.639725367854089,0.157459418213296,-0.948345827552149,-0.331104908156028,7.8390981744293e-05,0.000426446940688954,TRUE,TRUE,"Lower in diabetes"
"Lactosyl_N_palmitoyl_sphingosine",156,-0.650533322261538,0.161526786708367,-0.967125824209937,-0.333940820313139,8.98077536301665e-05,0.000469763634373179,TRUE,TRUE,"Lower in diabetes"
"N_acetylmethionine",156,-0.639490000686369,0.160108625981735,-0.95330290761057,-0.325677093762167,0.000101985371839801,0.000513704095193073,TRUE,TRUE,"Lower in diabetes"
"Fibrinogen_cleavage_peptide",156,-0.641179951393045,0.161237393527844,-0.957205242707619,-0.32515466007847,0.00010899222853776,0.000529390824326264,TRUE,TRUE,"Lower in diabetes"
"Inosine",156,-0.617841392115918,0.160829235133199,-0.933066692976988,-0.302616091254849,0.000180824258684876,0.000848003420039421,TRUE,TRUE,"Lower in diabetes"
"Docosahexaenoylcholine",156,-0.606896171558407,0.161826605005102,-0.924076317368407,-0.289716025748407,0.000252845118337278,0.00114623120312899,TRUE,TRUE,"Lower in diabetes"
"Glutamate",156,0.600685553042969,0.161054316420195,0.285019092859385,0.916352013226552,0.000272470702342761,0.00117361301967736,TRUE,TRUE,"Higher in diabetes"
"Enyl_palmitoyl_oleoyl_GPC",156,-0.599874581605665,0.160996394433839,-0.915427514695989,-0.28432164851534,0.000276144239924085,0.00117361301967736,TRUE,TRUE,"Lower in diabetes"
"Guanidinoacetate",156,-0.602619027247228,0.162228869887193,-0.920587612226127,-0.28465044226833,0.00028776409653052,0.00118593688267123,TRUE,TRUE,"Lower in diabetes"
"N_acetyltaurine",156,-0.587544519602451,0.162220946075182,-0.905497573909808,-0.269591465295095,0.000401161854190833,0.00160464741676333,FALSE,TRUE,"Lower in diabetes"
"Sphingomyelin_d18_1_20_1",156,-0.568765860400425,0.160895545537085,-0.884121129653111,-0.253410591147739,0.000544593013842767,0.00209827750168055,FALSE,TRUE,"Lower in diabetes"
