"","Aspartate","Guanidinoacetate","Glutamine","Glutamate","Pyroglutamine","Cysteine_glutathione_disulfide","Cys_gly_oxidized","Pipecolate","S_adenosylhomocysteine","N_acetyltaurine","Hydroxybutyrate_hydroxyisobutyrate_2","Taurine","N_acetylmethionine","Bromotryptophan_5","Citrulline","Erythronate","Mannose","Fructose","Anhydroglucitol_1_5","Glucose","Ribonate","Arabonate_xylonate","Oxalate","Malate","Palmitoyl_linoleoyl_glycerol","Palmitoylcholine","Hydroxydecanoate_3","Hydroxyoctanoate_3","Hydroxymyristate_3","Hydroxylaurate_3","Hydroxybutyrate_3","Linoleoyl_GPC","Stearoyl_GPC","Stearoyl_GPI","Enyl_palmitoyl_GPC","Enyl_oleoyl_GPE","Enyl_palmitoyl_GPE","Arachidonoylcholine","Oleoylcholine","Dihomo_linolenoyl_choline","Distearoyl_GPC","Docosahexaenoylcholine","Palmitoyl_arachidonoyl_GPE","Palmitoyl_oleoyl_GPE","GPC","Enyl_palmitoyl_palmitoleoyl_GPC","Enyl_palmitoyl_oleoyl_GPC","Enyl_palmitoyl_linoleoyl_GPC","Enyl_palmitoyl_palmitoyl_GPC","Sphingomyelin_d18_2_14_0","Sphingomyelin_d18_2_24_1","Lactosyl_N_palmitoyl_sphingosine","Sphingosine","Sphingomyelin_d18_1_24_1","Sphingomyelin_d18_1_20_1","Sphingomyelin_d18_2_23_0","Sphingomyelin_d18_2_16_0","Sphingomyelin_d18_1_22_1","Palmitoyl_sphingomyelin","Palmitoyl_dihydrosphingomyelin","Inosine","Methylguanine_7","Dihydroorotate","Aminoisobutyrate_3","Deoxyuridine_2","Leucylalanine","Fibrinogen_cleavage_peptide","Gluconate","Valine","Leucine","Isoleucine","Alanine","Serine","Glycine","Threonine","Phenylalanine","Tyrosine","Tryptophan","Histidine","Lysine","Arginine","Proline","Ornithine","Homocysteine","Cystine","Asparagine","Lactate","Pyruvate","Xylitol","Sorbitol","Maltose","Cholesterol","Choline","Palmitate","Stearate","Oleate","Linoleate","Arachidonate","Docosahexaenoate","Eicosapentaenoate","Myristate","Palmitoleate","Carnitine","Acetylcarnitine","Propionylcarnitine","Cholate","Deoxycholate","Glycocholate","Taurocholate","Adenosine","Guanosine","Uridine","Cytidine","Hypoxanthine","Xanthosine","Uric_acid","Allantoin","Nicotinamide","Pantothenate","Riboflavin","Pyridoxal","Thiamine","Ascorbate","Alpha_tocopherol","Gamma_glutamylalanine","Gamma_glutamylglutamate","Cysteinylglycine","Caffeine","Paraxanthine","Theobromine","Hippurate","Salicylate","Citrate","Succinate","Fumarate","Alpha_ketoglutarate"
"Aspartate",1,0.149021862317415,-0.413663749335451,0.0271125925496369,-0.0112429671703459,-0.24162730353496,-0.369995184909305,0.267525218277274,0.285293825385222,0.28844687447505,-0.430966136892368,-0.0668076953054785,-0.140645424762037,-0.267731429448753,0.60673210402204,-0.38807742038039,-0.041749428169988,0.211796978603164,0.0771999915623414,-0.290864385803057,0.515141240897661,0.0219568953201464,-0.381042063227086,0.479782497621201,0.254513392237335,-0.130848959469553,-0.201272384021393,0.0235304197081028,-0.270105656099904,0.0913466688142173,0.24749973093816,0.120822922660844,-0.0295605749819428,-0.0880641323789666,-0.161407130217069,-0.0445235721959092,0.343238726740069,-0.0252823585570587,0.0910013853868571,-0.279041158520175,0.347432991288313,0.16697851301606,-0.114976330064348,0.0858790978957739,0.224137789792032,0.135343256594721,0.358718989385636,-0.470315060209528,0.243636620658013,-0.0689911191938601,0.197454163667869,0.0625824865674979,0.236460613030786,0.186929883571463,-0.0759945021500893,-0.356883390917209,-0.131965137746425,0.357229470637701,-0.294459013124282,-0.0151757702946503,0.0640475108171076,-0.117387240815469,0.0470834664758745,-0.010119809552577,0.116395436217596,0.0313024994267767,-0.243954329912348,-0.0865336290907788,0.121951383673037,-0.126579383224737,0.224502876490917,0.0140921407992428,-0.214880780392661,-0.0901153649535848,-0.286255149658227,0.123806658078352,0.0243590835819544,0.249714079759551,-0.341702132952007,0.0513837557253739,0.346235725132093,-0.102622154812041,-0.00487974200166701,0.00420918262356033,-0.0537252448627477,0.1648349978306,-0.339234671571991,0.265774134793349,-0.197365492801412,0.0120271271185585,-0.0916533584332684,0.0774897210421649,-0.0959833345456004,-0.415585650380644,0.0376569668178194,0.261746951469103,0.184063487805193,-0.423540041280209,0.119033848985057,-0.221636866626374,0.173148777150982,0.348659959113021,0.0409505643938739,0.247217009549277,-0.397559837686894,-0.0554138578124441,0.205746149644289,0.160051318406446,-0.25851519398714,-0.435230623417811,-0.213779306543608,-0.0524447304237303,0.00438245368443178,-0.10702328795329,0.179593380808587,0.351667863265624,-0.154034393610138,0.247486658216529,0.356092007543197,-0.076790960205278,0.0771378929995935,-0.0321155221360726,0.0192540242696988,-0.459754713119792,-0.371372119589358,-0.19183283623322,-0.0779571503742998,0.143078549736201,-0.642849286483332,-0.335465583865258,0.030959538982606,-0.305303499798799,0.0601495536721838,0.355953662071859,0.450312804958552,-0.232317938446979
"Guanidinoacetate",0.14902186231745,1,-0.079782747507826,-0.223056934122355,-0.21299137996837,-0.0564322949279975,0.094340419703689,-0.0680133949788383,-0.385951563781556,-0.20504509059008,-0.0821742272596367,-0.277371181873363,-0.0914558979719011,0.41209684384984,-0.192961003571403,0.172530391651598,0.0564704102252612,0.21613792215429,0.235786719894049,0.128052850970688,0.0144133105485612,0.0920012994615418,0.0830068898935778,-0.356808836988515,0.0363414164498521,0.279702979415511,0.0154540772990132,0.0308800669842742,0.0793592214750082,0.166522137379018,-0.05325331322236,-0.127839494217031,-0.476337747816914,0.0217131710259706,-0.115330527997028,-0.0566181783154288,-0.416552576247075,-0.145189094054278,0.15481958290389,-0.0287948963284173,-0.165120064093739,0.0623407246579522,-0.0315702893243604,-0.0749901069858712,-0.192625338608421,0.106680075522374,0.0287117020648602,0.0976015246173806,-0.265945423328107,0.112296380653801,0.0274488769202718,-0.0379074262432962,0.054981826852418,0.0856683172955019,0.118838592528621,0.298612832417536,0.130046777577695,0.022980961736501,0.434801301985473,0.018168486037913,-0.0534009593116491,-0.00877915656173696,0.0149620605135842,-0.0333613799701715,-0.251148064167391,-0.15230098670447,0.283985923357192,-0.13703520092839,0.00197622445473976,0.16919161678027,0.00303458020392297,0.0897587683149171,-0.164526973571229,-0.0320935426095797,-0.0647272514080778,-0.137050244152794,0.0718614738778249,-0.147306889711911,-0.0746727453365733,-0.334616007574033,-0.38126717500066,-0.0177429946145354,-0.0480866960240043,0.163063208405196,-0.0115125290145352,0.200483202043892,-0.0571810701549082,0.240117479580374,0.32354237619916,-0.283932376704223,0.00268130584755313,0.0129628891823021,-0.174606907878473,0.217154131018217,-0.101755168734902,-0.0991903200191178,0.0433584161145771,0.210899190125729,-0.0413137654229349,0.305103252762859,0.00789587709001566,-0.206993264279434,0.0802816113809394,0.0168458583763102,0.0850666847447187,0.00458109925427292,0.194187369146916,-0.0617270405673202,0.240557599518538,0.214990709686736,0.013174071867354,0.253125087736999,-0.00574026451320598,-0.134735269742352,-0.34287612988368,-0.00522842624427751,0.239283341786398,-0.11797777371949,-0.0274734779487747,0.0943978623205158,0.145150055681365,-0.16043333658975,0.186727878171114,-0.00188817802869463,0.36985149226545,0.11856498619654,-0.109449665126736,-0.0107772854358816,0.203452444589453,0.0425419808933568,0.0246400820475434,0.220077105535965,-0.0781154638708869,-0.206830753206404,-0.271495916887035,0.30060625423118
"Glutamine",-0.413663749335443,-0.0797827475078612,1,-0.220144161138768,-0.367846738146902,-0.404334601904215,-0.111206366087382,0.222588806728536,-0.154976938740699,-0.195982713428712,-0.2674287408779,0.0178298371934417,-0.145680125533184,0.0420818159470103,0.198188593777468,-0.19163928792541,-0.00673186376982406,0.252860126794233,0.397864819868172,-0.169683326873358,0.284883175196829,0.0814785477319025,-0.212759917878012,0.147484892870288,0.412231694471866,0.244264751775718,-0.244845475436151,-0.167681729552359,-0.311038075256912,0.317485854306169,0.0043161988724718,-0.0100224884053783,-0.292382977014236,0.296113121039692,-0.0369454697832625,-0.150466551113895,-0.161943367660785,-0.0549628521530237,0.0961308233217259,-0.331708115011869,-0.0681379765423931,0.128480803079816,0.299303314086434,0.161881055286697,-0.0663095833318815,0.142486111423966,0.285279860460668,-0.400230383552014,0.132406503908044,0.0423851731603319,0.0687746729109109,0.00914210401707999,0.0980697856039242,0.296616747271472,0.0830603278934108,-0.106867888252653,0.14096706194229,0.240393622911075,0.0576947409813298,0.158223868834811,0.108961246743575,-0.161904684170419,0.209314640734994,-0.395291948065567,-0.0327820646963294,0.0753307231053356,-0.048558157899485,-0.022613528614781,0.0508659252378331,-0.446583384578061,0.0202321994011598,-0.0985966792388186,-0.133669299702369,-0.130614659558235,-0.165780292209395,0.28848527204733,0.0798112370134652,0.332837404219936,-0.0139126755338265,-0.258655572471494,0.0305143185301091,-0.305974639934732,-0.243976462436506,0.162392814501403,-0.140478490012038,0.0204939188522358,-0.286376761746936,0.143453121868051,0.165472588470711,-0.0516108388162503,-0.0391109589234098,0.263346433001425,-0.251719568078842,-0.216083776608367,-0.03923113426507,0.275388940365229,0.165274283941811,-0.135203144019464,-0.0556601480983097,0.0238300589148197,0.226257991342535,0.0129758859778934,-0.121926630358687,0.103581467582841,-0.114473789211253,0.114337061450347,0.488037264951286,0.150734515245647,0.00517290640458195,0.055477360100787,-0.157871521407531,0.000263845609845104,0.132253915465016,0.0734960756770445,-0.0691652280057526,0.134053901028289,0.127719274269861,0.0334386094578712,0.120273066902951,0.0647607284489391,0.220487432137967,-0.36421065358902,-0.119585790239348,-0.172280867214039,-0.377656389763669,-0.103846633702845,-0.211817851287596,0.0283586708898984,-0.331820728019727,-0.259070246313933,-0.0378180161588628,-0.183192494294447,-0.122963454385391,0.336711513117866,0.308611431439134,-0.255063550576402
"Glutamate",0.0271125925496474,-0.223056934122352,-0.220144161138756,1,-0.224040586975921,-0.205632297704917,0.0521210208279786,0.111822823481996,-0.486521632395653,-0.25614146289062,-0.064022739848997,-0.282631505291933,0.0110498093095459,0.335323019387133,-0.0636404356376624,0.345536274415869,0.397045307042771,0.156219833436894,0.329185175847678,0.0344414999104269,-0.298113792451754,-0.00252856004915793,0.00959582631937464,-0.258932938743284,0.377074255947677,0.402212542174735,-0.106683146286943,0.137237745945069,0.020790621055085,0.156406674903138,0.0404950752604442,-0.20930782098679,-0.4764336082849,0.055578430769371,0.0975760245974421,0.134713056338763,-0.528749669822159,-0.156695131846866,-0.00641815229353084,-0.403735626302079,-0.19757161907102,0.234032958163321,0.416679073991866,-0.19884934513907,-0.28418709711603,0.432808613750934,0.0138270493380246,0.0964583949276294,0.0444563837798868,0.0329941441354096,-0.0390416835675442,-0.173800120115832,0.294998486470397,0.160563188380806,0.263384232987957,0.140586532449993,0.442938245726016,-0.0511962392779436,0.477481241092437,0.00815520495422466,0.028243545269657,-0.365972473064314,-0.00987669851401727,-0.318769093985706,-0.109708441319768,-0.317957015828672,0.010507509809882,0.106897259763549,-0.223648352459225,-0.201565895171568,0.0679190464890533,0.0370393492301411,-0.00962278827305922,-0.381925418080956,0.028596027727592,0.139342209313328,0.406355424342086,-0.245707985929709,0.014223136993174,-0.396758753698537,-0.262939539636434,-0.247212520249363,-0.180838082025554,0.0587834553053761,-0.221775015979715,0.34501039648225,-0.290229498373166,0.354712357440012,0.14346275590549,-0.204849111474204,0.0194769420100252,0.0209686604487931,-0.178607841051804,0.0955068010131546,-0.066610773673764,-0.0254801961374553,0.0765270153082982,-0.0393571065653336,-0.145582396071645,0.333506772172388,-0.0564064498881513,-0.223334937870305,0.0651025170240171,-0.449869560671578,-0.0908974682024896,-0.198147420603698,0.386333727381234,0.109848984407851,0.390690464583813,0.404755900103245,-0.142823272026452,0.540605742714522,-0.206235167853077,-0.0578891586882249,-0.381635569229178,-0.0957195651376103,0.217132762653065,-0.111802966998212,-0.150554477405894,0.0632931732299891,0.177804611127286,-0.230726972849261,0.0039434590617208,0.028171700890321,-0.109102480429045,0.0970682253653946,-0.242237810061755,-0.079717583977518,0.267391093852219,0.009398175098832,-0.0902470123162169,0.0876995432413749,-0.257095832343867,0.0919773216301493,-0.0837488679600009,0.174520584405233
"Pyroglutamine",-0.011242967170327,-0.212991379968385,-0.367846738146894,-0.22404058697594,1,-0.249489621720445,0.228130353218648,-0.196252034512435,-0.141294613762609,-0.398197725188778,-0.131656869102634,0.0327621297974493,-0.107849104051671,0.074996663399946,-0.172993700161775,0.0601502581305542,0.289976337018524,0.26644095150611,0.308224595139306,0.145404021068892,-0.00677777674192277,0.0574221496800319,0.139823123716184,-0.161402891260577,0.310169578810653,0.31013376025709,0.000449934939598786,-0.119886080491275,-0.291044078003587,0.362351377759253,-0.129432658555434,-0.0227091107790161,-0.375539412768458,0.476889832898388,-0.00690675500362073,-0.285442191018406,-0.488272097176596,-0.305965355634693,-0.0243362228902039,-0.120413665143755,-0.259866312115065,0.0706279246147851,0.438836445564053,-0.116853536258362,-0.084918808593472,0.28095302594002,0.507801429768961,-0.236100109725102,0.0787280162159659,0.387922035797362,-0.081038916226748,-0.362065295394491,-0.0764432790800834,0.499538137700881,0.333166822193479,0.0753089739635546,-0.072640689346386,0.0883083985756387,0.186990932874839,0.158351728259651,0.0868101690449648,0.0587377111659292,0.363580307210102,-0.402522311296807,-0.111218322513255,0.181326398699658,0.0607787322201069,-0.309105097239608,0.267416225340874,-0.331104527951052,-0.14509593039693,-0.3374855637775,-0.0956492402629632,-0.139370683177579,-0.133149536325813,0.452792257284014,0.00423508871524158,0.329830913500948,0.0582931484237085,-0.255842141645249,-0.194167388620256,-0.303876109292838,-0.289211178091171,0.171961518156617,0.00457062653963443,-0.134377928544043,-0.0692921298268645,-0.133202080261293,0.473825992846452,0.0596196377221018,-0.0538733232624032,0.392966212784159,-0.363495870201277,-0.254017444483389,0.00565631524553501,0.406098460192926,-0.103701700206747,0.0195199490153842,-0.000223123541756951,0.326301238356903,0.261882773628912,-0.0797242616645995,-0.290732173628048,0.00324918826847269,0.0119396386543536,0.354799895151395,0.361379441319341,0.0570070764936884,0.0143589612641324,0.282325798821757,0.0950551908205002,-0.0149198194213857,0.219148455663326,0.1293746649989,-0.261368915980634,-0.00550144210399297,0.380436049797439,-0.0981149843076691,0.0694190820873327,0.139388719788663,-0.102403524587101,-0.359066415080165,-0.140369585919017,-0.263387304032895,-0.0791648034331882,-0.197648144799995,-0.476311647644568,-0.323675985630321,0.0875254799227795,-0.302554424787739,-0.31145688965316,-0.147067058665402,-0.28591918580493,0.155297632783188,-0.00613760588611759,-0.0661289361054839
"Cysteine_glutathione_disulfide",-0.241627303534949,-0.0564322949280297,-0.404334601904222,-0.205632297704941,-0.249489621720461,1,-0.00865678978385034,-0.00468198676030031,-0.0601063075096513,-0.0880805957093596,-0.218643981576637,-0.00827309404217736,-0.188516054635733,-0.109892155673956,0.279111970813066,-0.25517722684953,0.259835241442974,0.422987795195931,0.541727591585615,-0.311456763023817,0.301505741381238,-0.147399445116548,-0.202159265925788,0.144529755630388,0.231839120032631,-0.074099344583335,-0.346798979987871,-0.0340235834115193,-0.308604130396256,0.197320685771992,0.20264533887723,-0.0205966294642723,-0.198823848079937,0.131238224601788,-0.242573081408132,-0.174107724335227,-0.0958352909739573,-0.261443057464655,0.283573901671146,0.041094814737278,-0.248569864473215,0.418482847172731,0.234788482090706,0.0129183590765709,0.0624460023820629,0.105997862213317,0.342341738458461,-0.374975489103835,0.0503643275279527,-0.00954016996903408,0.0868470279953515,-0.321925045239865,0.0100008158348552,0.423932031781514,0.238414707792212,-0.256391482399493,0.104465118548406,0.103855763169104,0.0251633426852192,-0.0126059876478008,0.0414315775716643,0.0132787730456316,0.355562765378932,-0.35782253149849,-0.385901906260145,0.153288149380819,0.155858909522551,-0.0475000981602449,0.168473804883156,-0.267493471917168,0.115999318889982,-0.113342321000015,-0.506049986979403,-0.0176512332782029,-0.077029545770927,0.0745111234926921,0.0204267415992774,0.266847182714039,-0.0674787360749718,-0.14948374077998,0.056710710771753,-0.439365922275534,-0.354765376288808,0.163560491391913,-0.417310954334742,0.0643418795263423,-0.168598940881364,0.186218351457605,0.404388011956161,-0.312206962367882,0.0559916014826805,0.455439887584174,-0.361494405227483,-0.422039398542166,0.271184606281941,0.394557570091718,0.462185440123738,-0.0603963858472614,0.109306316678568,-0.037415206942844,0.230909918509481,0.0536753907565756,-0.231080616254217,-0.0668653806097954,-0.214821358738325,-0.102927760071683,0.564549700702903,0.257594944132735,-0.176228321541073,-0.0694553057159812,0.0606128370507157,0.0713209390624406,-0.0351445436563698,0.259998093844562,-0.0142309651493465,0.313153532009903,0.311813055226521,0.113690419742326,0.257801041469879,-0.272979303419669,-0.0559686836483684,-0.198691003857328,-0.151043273731343,-0.271967644401893,-0.247264443706535,-0.0278459487965823,-0.384550082048188,0.0862040380732386,-0.234881490526309,-0.148606873100711,-0.209180437420169,-0.209465372923832,-0.218963072584886,0.454148204767267,0.124186722567065,-0.0980535065751803
"Cys_gly_oxidized",-0.369995184909317,0.0943404197036731,-0.111206366087389,0.0521210208279799,0.228130353218638,-0.00865678978386484,1,0.312690107985657,0.119709234220266,0.209367634796141,-0.33652290520287,-0.213228166439391,-0.255232754660541,-0.0503095996951837,0.421322116569656,-0.172565794303569,-0.227699944155588,0.0717629850196485,0.153571102686139,-0.275468508316006,0.301022009333422,-0.020477415911955,-0.322681794538753,0.320626869760803,0.0336421338914582,-0.107410474426294,-0.0158201472543126,0.281206849351852,-0.0899578468690653,-0.197053151453075,0.143315850320508,0.171687747279847,0.157739955269788,-0.233019231495783,-0.315456553503611,0.179600399200731,0.20429068419262,0.253175176294028,-0.058848402519938,-0.157027424203529,0.383096323489987,-0.148800870208159,-0.228026847067361,0.121409371621515,0.252806405919834,-0.1892181065033,-0.00562512371554304,-0.281086765469592,0.0978454516481237,-0.0898720159324927,0.34654224342098,0.303963349997016,0.0127081037202297,-0.159933536801561,-0.191793137022681,-0.299160214461656,-0.0755957718427695,0.133081562561834,-0.356041660773316,-0.00357793983037689,0.1043374431731,-0.109255737277398,-0.161096805698317,0.194163908309616,0.250044740767978,-0.0152470140979246,-0.190131466984756,-0.0558178231931008,-0.19691466006337,0.166941097187725,0.027442415429926,0.125708960591759,-0.148279760915264,-0.116591769478141,-0.17656240552437,-0.040395258010229,0.0429081977564786,0.123785874748203,-0.317534844061354,0.190065189868562,0.241372931008347,0.187243072750063,0.255278045410243,0.11365327934454,0.158571940627386,0.11592599790407,-0.180049979243932,0.174410337671673,-0.336402051093552,-0.0175877535350173,-0.105940521390238,-0.195848630455906,0.141838172734815,-0.195637351781848,-0.0259327090913906,-0.168786278083632,0.257067645538816,-0.398105427297303,0.161411941001706,-0.100064837156375,-0.19673216324649,0.289110508455725,-0.0437817654803061,0.26259572975203,-0.150061068713724,-0.152848497978932,0.0786645169107684,0.133868610556748,-0.070679337961636,-0.432521474337341,-0.315074302061406,0.082516557985625,-0.0640247521392849,-0.25583392706929,0.199531681442108,0.135745064035846,-0.170964789017569,0.00727169681558221,-0.0669319637677443,-0.140423701970031,0.0712711650086852,0.159202251791708,0.193181012207144,0.012209027027117,0.020502845558377,-0.207650580599991,0.129433450906974,0.105817818198561,-0.354586451370526,-0.0654639401075378,0.156370754515258,-0.139425503222261,0.303585696945292,-0.0831909790937029,0.330765950112269,-0.271232011566657
"Pipecolate",0.267525218277287,-0.0680133949788359,0.222588806728535,0.111822823481978,-0.196252034512437,-0.00468198676029802,0.312690107985663,1,0.19077458643344,-0.188345688011309,0.230402546027274,0.384874823762908,0.111336812420888,-0.0932945781086598,-0.306928450950133,0.095716318381014,0.0608592438937177,0.079064321516281,-0.0385748037898184,0.219079859947383,-0.0483135088674742,-0.0547023409339083,0.177559735027392,0.0577445724657078,-0.278786919514898,-0.14406173380309,0.296880571037724,-0.219968129992447,-0.0807888756690228,0.256154330676032,-0.0885854272340766,-0.045046420061602,-0.0202035878979107,0.25783390826454,-0.0293024794449118,-0.447648939081061,-0.00810624177122137,-0.396910810037861,0.0504403413801184,0.316024066004604,-0.253057889956549,-0.0517339379835271,0.171237350166032,-0.0997285943884509,0.170282210174063,0.123177382521734,0.337022342644704,0.121641651868043,-0.214782543850669,0.310713898263303,-0.0697919308573737,-0.524364508320029,-0.0627028900651488,0.282359937625043,0.301484552723673,0.0300757542452024,-0.361311108677563,-0.0447549388710521,0.0474206289606964,0.147780949097582,0.0377351504667512,0.302738853413714,0.387449228300713,-0.0451307537373519,-0.264981339922705,0.416182286503982,0.262482863865217,-0.274814075527612,0.38990006405191,-0.0661021189264947,-0.00939036502250691,-0.112532151694097,-0.0360331211487633,0.307293529885376,0.0300078985183624,0.131952515315682,-0.167860244557931,0.301613773791202,0.0688168411160488,-0.0943797450404009,0.0884368407314412,-0.27743186210154,-0.0291811216905091,0.130907443812064,0.0328999507960972,-0.216793085313535,0.185892068173475,-0.331655978022647,0.230282695827565,0.158997790254969,-0.22312162689431,0.327657575741423,-0.157458916562166,-0.176193342358457,0.108358450662903,0.382843274515904,-0.152236340704688,0.387003563585625,0.00418716793591353,-0.000153291624317791,0.100377184146005,-0.0427399112588516,0.00811636051099907,-0.0482014442176408,0.208982871820036,0.356500096528026,-0.218738431417162,0.0410915108450304,-0.239472360595676,0.0344769995389407,0.38289007073267,-0.152089587826921,0.275992750507146,0.248077750624612,-0.0917187553868662,0.167944780566472,0.184062684436289,0.170110801670154,0.210195089402576,-0.111953954260423,-0.265809372670245,-0.155744845458788,-0.149349386707866,-0.133282745667349,0.108530495559492,-0.126755056641436,-0.287475070540587,0.123948145063523,0.194033862038996,-0.125468151408611,-0.114121437969575,-0.0555142657522021,-0.140652490432495,-0.0747119080420635,-0.0695548580591147,0.226345316850964
"S_adenosylhomocysteine",0.285293825385223,-0.38595156378154,-0.154976938740685,-0.486521632395643,-0.141294613762594,-0.0601063075096319,0.119709234220259,0.190774586433453,1,-0.398383000422114,-0.185183052430431,-0.320058846643756,-0.169641298844977,0.543147263229364,-0.364084261148865,0.426672673909202,0.264160030365229,0.072698916190461,0.298316237469981,-0.0580431851287903,-0.29205152798876,0.157705425689421,0.108250575610935,-0.438918067243283,0.248559416159439,0.512914089356791,0.075118260762643,0.201305205635636,0.164630484993491,0.0667132220424288,-0.193747615871052,-0.125801221920091,-0.528209783466719,-0.132345692834815,0.149111464034438,0.0695440320945639,-0.562458783388604,0.05092091820148,0.0574781128477479,-0.173811040515163,-0.400279062377485,-0.0168515777077472,0.191516714283917,-0.232575274825756,-0.479043984137418,-0.0999980982931764,-0.340228024967778,0.156579348009424,-0.123269484500947,-0.232434541880141,0.00817032105992806,0.111262556986459,-0.0764225666856524,0.037864643396145,0.0535704560193359,0.349289393171704,0.689755110281689,-0.173946123195999,0.428194202210047,0.0412118030231574,0.0291824769118486,-0.176712340624077,-0.229190050036515,-0.149346311878147,-0.105963209410893,-0.229668627697229,0.100347841748063,0.169717445335882,-0.272151364052442,-0.184039538248124,-0.268803120425684,0.0647477051819918,-0.00179685907892975,-0.36521111377615,-0.208485103802125,0.0240528956800583,0.311528869632279,-0.361131174849159,0.309421463397641,-0.296257514079404,-0.611183438706066,0.0293523415574975,0.0519032357763585,-0.0866654760183787,-0.119782415013082,0.22803595376131,-0.0927908094938393,0.322470758731444,0.0990917454982732,-0.291611206932664,-0.176027384740566,-0.071655214089986,-0.0795105332882275,0.327960649776013,-0.0820556728811319,-0.428372281126541,0.0552172549180982,0.0979680213598666,-0.187371219929579,0.394879642344795,-0.242600076540003,-0.479207715757468,0.0213979981246177,-0.358479662317651,0.0246835327043003,-0.229546395932794,0.347610176961902,-0.0700074418380395,0.415443298833696,0.586879431401273,-0.221055500629175,0.413157549084439,-0.2215502241958,-0.247196658350364,-0.391852325644769,-0.380406883068682,0.0535699993396781,-0.273544485661333,-0.254443510915056,0.137050790742397,0.277257157434656,-0.388403047357361,0.212944733469222,0.476826312194056,-0.0725849443567115,0.152257871412471,0.040227836162003,-0.140644964975326,0.410485153194467,0.00257636784652069,0.0624440639473402,0.344032180754031,-0.185729796865869,-0.275468431807377,-0.0580803726878915,-0.00172741155155541
"N_acetyltaurine",0.288446874475065,-0.205045090590079,-0.195982713428705,-0.256141462890633,-0.398197725188772,-0.0880805957093438,0.209367634796145,-0.188345688011298,-0.398383000422129,1,-0.0755090878350285,0.0493079641393913,-0.253342509863464,0.386989726715422,-0.512120099397018,0.183438178490866,0.294093183542331,0.294414000255342,0.271739704425323,0.0316124465274319,-0.209943612149467,0.0419307225774205,0.240688246051194,-0.408427682120721,0.191068105941068,0.347301525837138,0.175825512974225,-0.0130705809264954,-0.192392201251444,0.340405254966179,-0.255430506869728,-0.0208598356105449,-0.187179755717554,0.450964095478353,0.1071987341086,-0.3096230111254,-0.552803086459042,-0.13582060082006,0.076189316352127,-0.0263744437647566,-0.407718341312614,0.0264227233483553,0.312551069705777,-0.306376064973735,-0.0100375554032556,-0.0192493557743422,0.257915685105968,0.00591867351219299,-0.170617747399103,0.281846973697237,-0.161405414341311,-0.231669959303649,-0.0910484705665035,0.400755008708626,0.367079267271492,0.114610246834187,0.244201287764859,-0.206883621351464,0.181594496284943,0.177567373663444,0.0144107087653418,0.0799022278428447,0.220539107207828,-0.290319613433802,-0.221337640036891,0.185754039313492,0.0642348511104189,-0.233086909750372,-0.041581134670903,-0.448662793084203,-0.418534644064695,-0.256678011880976,-0.106576327711621,-0.0437603004461128,-0.0168201630833718,0.351756793347884,-0.0248114731995157,0.158990246731831,0.160355570080455,-0.179400999774719,-0.305027866058851,-0.113392341148491,-0.175840460104682,0.109659662204627,-0.209041706650019,-0.0447252579967266,-0.141586358885746,-0.162225129789231,0.429995836425622,-0.0563516257783105,-0.285621252782909,0.221493574479836,-0.238772949224174,0.0820450596484556,0.131987262615565,0.127010117055777,-0.0397762882604413,0.186404997794759,-0.0631816974795451,0.299618953519518,0.108158237912725,-0.159361195540737,-0.275318537709152,-0.196125449151117,0.116451850702476,0.153059196721215,0.35580242961665,0.165448720666682,0.217512224848113,0.365203399503052,0.0919520090476471,0.107228031941899,0.0561742480615036,0.317320708480263,-0.25545249817584,-0.171106741035254,0.257711472089592,-0.205837953306807,-0.00426648755708585,0.0827896108459859,-0.00577691184985029,-0.472540020747366,-0.0207325051687335,0.198495594452206,-0.0241402753080132,-0.134294819574174,-0.379294515621247,-0.212643399848574,0.436535378120833,-0.136155428007331,-0.13254531927702,-0.0403484539491682,-0.307595691133426,-0.137104288028248,-0.0584540519943117,0.128799861480796
