"from","to","partial_correlation","abs_partial_correlation","sign"
"Phenylalanine","Gamma_glutamylglutamate",0.363049526603273,0.363049526603273,"Positive"
"Docosahexaenoylcholine","Sphingomyelin_d18_2_24_1",0.345210332834279,0.345210332834279,"Positive"
"Stearoyl_GPC","Hypoxanthine",-0.337588875792963,0.337588875792963,"Negative"
"Aspartate","Paraxanthine",-0.329849000490664,0.329849000490664,"Negative"
"Uric_acid","Nicotinamide",-0.326791634540984,0.326791634540984,"Negative"
"Citrulline","Paraxanthine",0.325793922783759,0.325793922783759,"Positive"
"Malate","Enyl_palmitoyl_GPE",-0.324796789908233,0.324796789908233,"Negative"
"Threonine","Hypoxanthine",-0.318305283223706,0.318305283223706,"Negative"
"Asparagine","Lactate",0.311738399799005,0.311738399799005,"Positive"
"Homocysteine","Allantoin",-0.311047734577553,0.311047734577553,"Negative"
"Hydroxydecanoate_3","Ornithine",-0.309110636722241,0.309110636722241,"Negative"
"S_adenosylhomocysteine","Sphingomyelin_d18_2_16_0",0.307035606001794,0.307035606001794,"Positive"
"Sorbitol","Cholate",-0.30483998836221,0.30483998836221,"Negative"
"Dihydroorotate","Oleate",-0.302367970627494,0.302367970627494,"Negative"
"Leucine","Gamma_glutamylalanine",-0.301206639156883,0.301206639156883,"Negative"
"Sphingosine","Lactate",0.295508399852184,0.295508399852184,"Positive"
"Cysteine_glutathione_disulfide","Deoxycholate",0.293872879594695,0.293872879594695,"Positive"
"Sphingomyelin_d18_2_16_0","Dihydroorotate",0.292284379562938,0.292284379562938,"Positive"
"Docosahexaenoate","Guanosine",-0.288568513322909,0.288568513322909,"Negative"
"Linoleoyl_GPC","Propionylcarnitine",0.287899251540711,0.287899251540711,"Positive"
"N_acetylmethionine","Glucose",-0.285966154542572,0.285966154542572,"Negative"
"Sphingomyelin_d18_1_22_1","Paraxanthine",0.285676563149758,0.285676563149758,"Positive"
"Palmitoylcholine","Stearoyl_GPC",0.284835280414008,0.284835280414008,"Positive"
"Methylguanine_7","Valine",-0.282915492933474,0.282915492933474,"Negative"
"Taurine","Cholate",-0.282284217823691,0.282284217823691,"Negative"
"Mannose","Cysteinylglycine",0.282157070568387,0.282157070568387,"Positive"
"Enyl_palmitoyl_oleoyl_GPC","Alpha_tocopherol",0.27964796562349,0.27964796562349,"Positive"
"Palmitoyl_linoleoyl_glycerol","Glycine",0.279539886077688,0.279539886077688,"Positive"
"Methylguanine_7","Deoxycholate",0.277023219898975,0.277023219898975,"Positive"
"Hydroxymyristate_3","Cholate",0.275651305179033,0.275651305179033,"Positive"
"Ribonate","Threonine",0.275083768620014,0.275083768620014,"Positive"
"Stearoyl_GPC","Palmitoyl_sphingomyelin",0.272565516845928,0.272565516845928,"Positive"
"Dihydroorotate","Ornithine",0.272125270141263,0.272125270141263,"Positive"
"Palmitoylcholine","Pyridoxal",-0.272087717219136,0.272087717219136,"Negative"
"Glucose","Sphingomyelin_d18_2_23_0",-0.272061518089621,0.272061518089621,"Negative"
"Maltose","Fumarate",0.271779298469035,0.271779298469035,"Positive"
"Guanidinoacetate","Gamma_glutamylalanine",0.271582553256636,0.271582553256636,"Positive"
"Guanidinoacetate","Stearoyl_GPC",-0.271247006200036,0.271247006200036,"Negative"
"Palmitoyl_linoleoyl_glycerol","Deoxycholate",-0.269439109722418,0.269439109722418,"Negative"
"Glutamate","Uridine",0.269406037197854,0.269406037197854,"Positive"
"Proline","Cystine",-0.267748313942807,0.267748313942807,"Negative"
"Enyl_palmitoyl_oleoyl_GPC","Histidine",0.267360679257812,0.267360679257812,"Positive"
"Enyl_palmitoyl_oleoyl_GPC","Sphingomyelin_d18_1_24_1",-0.267111855745303,0.267111855745303,"Negative"
"N_acetyltaurine","Stearoyl_GPI",0.266003443365754,0.266003443365754,"Positive"
"Sphingomyelin_d18_2_24_1","Carnitine",-0.265320041874639,0.265320041874639,"Negative"
"Threonine","Theobromine",-0.264466550671359,0.264466550671359,"Negative"
"Enyl_palmitoyl_palmitoleoyl_GPC","Lactosyl_N_palmitoyl_sphingosine",0.263966261472019,0.263966261472019,"Positive"
"Pipecolate","Lactosyl_N_palmitoyl_sphingosine",-0.263405795334864,0.263405795334864,"Negative"
"Ornithine","Myristate",0.263389462705371,0.263389462705371,"Positive"
"Enyl_palmitoyl_oleoyl_GPC","Gluconate",0.262340294651534,0.262340294651534,"Positive"
"Arabonate_xylonate","Glycocholate",0.262174704027317,0.262174704027317,"Positive"
"Stearoyl_GPC","Eicosapentaenoate",0.262144478935464,0.262144478935464,"Positive"
"Hydroxymyristate_3","Sphingomyelin_d18_2_23_0",-0.260857276280016,0.260857276280016,"Negative"
"Aminoisobutyrate_3","Allantoin",0.260331593442023,0.260331593442023,"Positive"
"Tryptophan","Uridine",0.260249679020554,0.260249679020554,"Positive"
"Enyl_palmitoyl_oleoyl_GPC","Sphingomyelin_d18_2_14_0",-0.259527810179396,0.259527810179396,"Negative"
"Enyl_palmitoyl_GPC","Sphingomyelin_d18_2_24_1",0.257969703075642,0.257969703075642,"Positive"
"Inosine","Citrate",-0.257640449017226,0.257640449017226,"Negative"
"Linoleoyl_GPC","Fumarate",-0.256262428639079,0.256262428639079,"Negative"
"Dihomo_linolenoyl_choline","Aminoisobutyrate_3",-0.255708192948478,0.255708192948478,"Negative"
"Erythronate","Ribonate",0.255155825472523,0.255155825472523,"Positive"
"Pyroglutamine","Caffeine",-0.254263342849381,0.254263342849381,"Negative"
"Alpha_tocopherol","Succinate",0.253850210036336,0.253850210036336,"Positive"
"Linoleoyl_GPC","Inosine",-0.253024889118946,0.253024889118946,"Negative"
"N_acetyltaurine","Leucine",-0.25282990526463,0.25282990526463,"Negative"
"Phenylalanine","Gamma_glutamylalanine",0.252812313167652,0.252812313167652,"Positive"
"Palmitoyl_oleoyl_GPE","Glycine",-0.251819369945703,0.251819369945703,"Negative"
"Palmitoyl_oleoyl_GPE","Stearate",0.251312528126315,0.251312528126315,"Positive"
"Palmitoyl_oleoyl_GPE","Ascorbate",0.250917032050729,0.250917032050729,"Positive"
"Glutamate","Enyl_palmitoyl_palmitoleoyl_GPC",0.249664975201839,0.249664975201839,"Positive"
"Aspartate","Citrulline",0.249416387754528,0.249416387754528,"Positive"
"Sphingomyelin_d18_2_16_0","Thiamine",0.249306986601113,0.249306986601113,"Positive"
"Cysteine_glutathione_disulfide","Anhydroglucitol_1_5",0.247137791671021,0.247137791671021,"Positive"
"Palmitoleate","Salicylate",0.246365360720777,0.246365360720777,"Positive"
"Enyl_palmitoyl_oleoyl_GPC","Lactosyl_N_palmitoyl_sphingosine",0.245752854079263,0.245752854079263,"Positive"
"Enyl_palmitoyl_GPE","Palmitoyl_arachidonoyl_GPE",0.245522101146463,0.245522101146463,"Positive"
"Arachidonoylcholine","Valine",0.245346683716711,0.245346683716711,"Positive"
"Tryptophan","Pyruvate",0.24528632605102,0.24528632605102,"Positive"
"Cholate","Guanosine",-0.245227540086939,0.245227540086939,"Negative"
"Asparagine","Cholate",0.245058127320796,0.245058127320796,"Positive"
"Sphingomyelin_d18_1_24_1","Isoleucine",0.244388941074024,0.244388941074024,"Positive"
"GPC","Gluconate",0.243096125273294,0.243096125273294,"Positive"
"Cytidine","Ascorbate",0.242383811210331,0.242383811210331,"Positive"
"Maltose","Hippurate",0.241728004291909,0.241728004291909,"Positive"
"Serine","Adenosine",-0.2416185699546,0.2416185699546,"Negative"
"Sphingomyelin_d18_2_16_0","Palmitoleate",0.241352416065718,0.241352416065718,"Positive"
"Lactosyl_N_palmitoyl_sphingosine","Sphingomyelin_d18_1_24_1",0.241198987697068,0.241198987697068,"Positive"
"Enyl_palmitoyl_oleoyl_GPC","Tryptophan",-0.241152260371532,0.241152260371532,"Negative"
"Stearoyl_GPI","Oleate",-0.240717748652006,0.240717748652006,"Negative"
"Arginine","Sorbitol",-0.240684246930982,0.240684246930982,"Negative"
"Choline","Oleate",0.240363157170344,0.240363157170344,"Positive"
"Isoleucine","Alanine",-0.240012309877255,0.240012309877255,"Negative"
"Methylguanine_7","Guanosine",-0.239575538937665,0.239575538937665,"Negative"
"Pyroglutamine","Enyl_palmitoyl_GPE",-0.239555909084458,0.239555909084458,"Negative"
"Hydroxyoctanoate_3","Ornithine",-0.239322343841085,0.239322343841085,"Negative"
"Methylguanine_7","Threonine",0.239239708187996,0.239239708187996,"Positive"
"Anhydroglucitol_1_5","Deoxycholate",-0.238297885719796,0.238297885719796,"Negative"
"Serine","Pantothenate",0.237960136744455,0.237960136744455,"Positive"
"Hydroxylaurate_3","Palmitoyl_dihydrosphingomyelin",-0.237759633759303,0.237759633759303,"Negative"
"Dihomo_linolenoyl_choline","Isoleucine",0.237742175714041,0.237742175714041,"Positive"
"Paraxanthine","Succinate",0.237680516912542,0.237680516912542,"Positive"
"Distearoyl_GPC","Histidine",0.237533087649826,0.237533087649826,"Positive"
"Docosahexaenoylcholine","Cystine",0.237241520238687,0.237241520238687,"Positive"
"S_adenosylhomocysteine","Oleate",-0.237135764775957,0.237135764775957,"Negative"
"Carnitine","Nicotinamide",-0.236882980580227,0.236882980580227,"Negative"
"Oxalate","Hypoxanthine",-0.236766860488524,0.236766860488524,"Negative"
"Enyl_palmitoyl_linoleoyl_GPC","Acetylcarnitine",0.236693628056284,0.236693628056284,"Positive"
