"Metabolite","Display_name","Degree","Strength","Betweenness","Component","Community","Isolate","Hub_label"
"Enyl_palmitoyl_oleoyl_GPC","Enyl palmitoyl oleoyl GPC",11,2.67031965008051,0.0861249309010503,1,5,FALSE,"Enyl palmitoyl oleoyl GPC"
"Oleate","Oleate",9,2.10798649884972,0.0444444444444444,1,3,FALSE,"Oleate"
"Uridine","Uridine",9,2.09682630461216,0.0545052515201769,1,2,FALSE,"Uridine"
"Sphingomyelin_d18_1_24_1","Sphingomyelin d18 1 24 1",9,2.06869962223159,0.0576008844665561,1,5,FALSE,"Sphingomyelin d18 1 24 1"
"Paraxanthine","Paraxanthine",8,2.0594277960801,0.0455500276395799,1,3,FALSE,"Paraxanthine"
"Threonine","Threonine",8,1.98746813915952,0.05616362631288,1,4,FALSE,"Threonine"
"Ornithine","Ornithine",8,1.96284959794975,0.038253178551686,1,9,FALSE,"Ornithine"
"Dihydroorotate","Dihydroorotate",8,1.94769731148549,0.0400221116639027,1,3,FALSE,"Dihydroorotate"
"Sphingomyelin_d18_2_16_0","Sphingomyelin d18 2 16 0",8,1.94683194432465,0.0334991708126036,1,3,FALSE,"Sphingomyelin d18 2 16 0"
"Enyl_palmitoyl_GPE","Enyl palmitoyl GPE",8,1.87856314074971,0.0351575456053068,1,6,FALSE,"Enyl palmitoyl GPE"
"Lactate","Lactate",8,1.85729013873968,0.0236594803758983,1,5,FALSE,""
"Isoleucine","Isoleucine",8,1.77436958670301,0.0440022111663903,1,5,FALSE,""
"Myristate","Myristate",8,1.76478737518577,0.0111663902708679,1,9,FALSE,""
"Stearoyl_GPC","Stearoyl GPC",7,1.86737027288367,0.0520729684908789,1,4,FALSE,""
"Cholate","Cholate",7,1.79518884641831,0.0310668877833057,1,9,FALSE,""
"Deoxycholate","Deoxycholate",7,1.7243282109165,0.0307352128247651,1,6,FALSE,""
"Gamma_glutamylalanine","Gamma glutamylalanine",7,1.69924398044479,0.03681592039801,1,4,FALSE,""
"Allantoin","Allantoin",7,1.66736373648969,0.0393587617468215,1,4,FALSE,""
"Lactosyl_N_palmitoyl_sphingosine","Lactosyl N palmitoyl sphingosine",7,1.64711380552736,0.029297954671089,1,5,FALSE,""
"Taurine","Taurine",7,1.64062702461261,0.0199004975124378,1,9,FALSE,""
