"","Aspartate","Guanidinoacetate","Glutamine","Glutamate","Pyroglutamine","Cysteine_glutathione_disulfide","Cys_gly_oxidized","Pipecolate","S_adenosylhomocysteine","N_acetyltaurine","Hydroxybutyrate_hydroxyisobutyrate_2","Taurine","N_acetylmethionine","Bromotryptophan_5","Citrulline","Erythronate","Mannose","Fructose","Anhydroglucitol_1_5","Glucose","Ribonate","Arabonate_xylonate","Oxalate","Malate","Palmitoyl_linoleoyl_glycerol","Palmitoylcholine","Hydroxydecanoate_3","Hydroxyoctanoate_3","Hydroxymyristate_3","Hydroxylaurate_3","Hydroxybutyrate_3","Linoleoyl_GPC","Stearoyl_GPC","Stearoyl_GPI","Enyl_palmitoyl_GPC","Enyl_oleoyl_GPE","Enyl_palmitoyl_GPE","Arachidonoylcholine","Oleoylcholine","Dihomo_linolenoyl_choline","Distearoyl_GPC","Docosahexaenoylcholine","Palmitoyl_arachidonoyl_GPE","Palmitoyl_oleoyl_GPE","GPC","Enyl_palmitoyl_palmitoleoyl_GPC","Enyl_palmitoyl_oleoyl_GPC","Enyl_palmitoyl_linoleoyl_GPC","Enyl_palmitoyl_palmitoyl_GPC","Sphingomyelin_d18_2_14_0","Sphingomyelin_d18_2_24_1","Lactosyl_N_palmitoyl_sphingosine","Sphingosine","Sphingomyelin_d18_1_24_1","Sphingomyelin_d18_1_20_1","Sphingomyelin_d18_2_23_0","Sphingomyelin_d18_2_16_0","Sphingomyelin_d18_1_22_1","Palmitoyl_sphingomyelin","Palmitoyl_dihydrosphingomyelin","Inosine","Methylguanine_7","Dihydroorotate","Aminoisobutyrate_3","Deoxyuridine_2","Leucylalanine","Fibrinogen_cleavage_peptide","Gluconate","Valine","Leucine","Isoleucine","Alanine","Serine","Glycine","Threonine","Phenylalanine","Tyrosine","Tryptophan","Histidine","Lysine","Arginine","Proline","Ornithine","Homocysteine","Cystine","Asparagine","Lactate","Pyruvate","Xylitol","Sorbitol","Maltose","Cholesterol","Choline","Palmitate","Stearate","Oleate","Linoleate","Arachidonate","Docosahexaenoate","Eicosapentaenoate","Myristate","Palmitoleate","Carnitine","Acetylcarnitine","Propionylcarnitine","Cholate","Deoxycholate","Glycocholate","Taurocholate","Adenosine","Guanosine","Uridine","Cytidine","Hypoxanthine","Xanthosine","Uric_acid","Allantoin","Nicotinamide","Pantothenate","Riboflavin","Pyridoxal","Thiamine","Ascorbate","Alpha_tocopherol","Gamma_glutamylalanine","Gamma_glutamylglutamate","Cysteinylglycine","Caffeine","Paraxanthine","Theobromine","Hippurate","Salicylate","Citrate","Succinate","Fumarate","Alpha_ketoglutarate"
"Aspartate",1,0.00501394524437845,-0.202500714806669,-0.0411039385284936,-0.0229224823771058,-0.00862417258345323,-0.0917922935737498,0.139890704154762,0.0705162725234123,0.0773237591985134,-0.20790966220855,-0.0908039614292952,0.0238207414849401,-0.0335039180754273,0.249416387754528,-0.153143863457688,-0.0125873183085105,0.0730784892653672,-0.0864883482249695,-0.0223373989495834,0.180908737333396,0.111213596271927,-0.088698708771204,0.104851409962754,0.141778801056091,-0.00819021498594679,-0.0152971641526853,0.0619066117401507,-0.039051856607664,0.0699671336929598,0.106143609004644,-0.00304095309009821,-0.109483035641118,-0.108346395058792,0.0104669788764584,-0.0322962836922942,0.0976127631519364,-0.0146660644818144,0.0155422184823176,-0.186469817373914,0.149730017212187,0.0825993014130693,0.00591540773933402,-0.0346855224503636,0.0886035996253724,0.0444325327013435,0.210180443008143,-0.0868174675057388,0.0504472905978871,-0.0590312459820105,0.0207936683709414,0.128634057538727,0.128540625765798,0.0742377478258919,-0.000937743313618566,-0.00636724158847722,0.034233611556385,0.15583498214832,-0.0495543870462905,-0.0298555594968742,-0.0359166482154731,-0.0609046829246032,-0.0711565639249757,-0.0608912698228491,0.0539956561992908,-0.0538686045175063,-0.146236508174564,-0.0652972787920693,0.0491637376286678,-0.023484881869867,0.060070793959015,0.00300568081115919,-0.0348900958615385,-0.0328193152455456,-0.144004209300042,-0.0030767383414037,0.0807357244215519,-0.00820968128081637,-0.0937844580671657,0.0478497339653053,0.0459751506172665,0.0621314128017014,-0.00157461564739937,-0.0147899940107047,-0.0145176456779217,0.0975455003760807,-0.193257198539184,0.135926791692382,-0.189406085612388,0.0571200578903237,-0.0762576468544111,-0.063611886068888,0.00493277684096911,-0.0624821979344241,0.00535423035294367,0.0702791698499621,-0.0397585886635651,-0.166393467100543,-0.0318435875952338,-0.0737643670041575,0.112107025854794,0.0650972014839972,0.0867685162317773,0.0669451163143479,-0.195682471892042,-0.0203912969206657,0.0516574277903374,-0.039106453053517,-0.0623359118923726,-0.108874419485198,-0.0532768028674812,-0.0703220478996505,0.0411280203474254,-0.0615549710195694,-0.0132250727636117,0.130057499146783,-0.0265687758900546,0.1090918937554,0.16650056271918,0.0310567663649547,0.116801003715431,-0.0439300210068407,0.0606463944131832,-0.231499349251741,-0.193294212974476,-0.0257763887734888,0.0264592257472951,-0.0114616313487533,-0.329849000490664,-0.143851312860096,0.0391129626785561,-0.022861272347353,-0.00524847444173776,0.190311947003512,0.191976742911975,0.0221723543834253
"Guanidinoacetate",0.00501394524437851,1,-0.0599202323907258,0.0117259890476989,-0.0633033391315763,0.0167600382274142,0.00531251537433511,-0.0393205443504174,-0.153178176152901,-0.0193860511442871,-0.0652431308083719,-0.181885333816615,-0.0892369916029373,0.132284977598977,-0.0661997137043434,-0.024749312782317,-0.156014075823801,0.140018329008228,0.114527807642685,0.0250406564032446,0.199812129610574,0.0400910748105187,-0.00381109827587924,-0.0956356858549732,-0.0127295225528467,0.109982514093525,-0.0018060559645822,0.0244578109421204,-0.0375282388711436,0.0952479641273775,-0.0106170513015802,-0.0256034304052449,-0.271247006200036,-0.0107208825420354,-0.0903462495408106,-0.0455076068441175,-0.127452406856827,-0.102476837621318,0.0874038128590914,0.0527319480068176,0.0052934926546959,0.0679964608345085,-0.168351113839471,-0.0411194835250233,-0.102595923986326,0.0528714838688905,0.106930995909208,0.0378023611788136,-0.142206750804501,0.0907544221400652,0.0129581191137789,0.0262073395272284,0.0293258146217944,0.041062242084543,0.040780748332412,0.13403949383717,-0.0838445900922357,0.0739613331494836,0.195631599832411,0.0652439451888766,0.0153983974142202,0.0228538555726283,0.0258907684370311,0.0691090880018927,-0.0827121485089015,-0.0413435578469582,0.128918772549629,-0.0967592649608234,0.0679783841900809,0.220306006647337,0.0251446398352461,0.0587662296679894,-0.123743882967579,0.0309919194591335,-0.0621947962501293,-0.143897700153191,-0.111728953667946,-0.034669424226768,-0.0986775514741736,-0.110205225911512,-0.0788242885019009,0.0198660275563951,0.0217669860305259,0.108250792279613,-0.0200353979028781,0.10760850487847,0.011334051752168,0.145208513574805,0.202535461989346,-0.0891531609941279,0.0203327006498601,-0.0162636676879355,-0.0888610058398558,0.120046293787664,-0.0581188744968184,-0.049719013492452,0.0186362579385149,0.0899252311649859,-0.0465105174887638,0.094882095914625,0.03384755675848,-0.0660509468411141,0.05282548287694,0.112421213595683,0.108506507144191,0.122254963489548,0.0449333812170794,0.0086096275062874,0.0959475288151809,-0.0545853513424517,0.00934036524355459,0.052893597527327,0.0506720781929345,-0.126649195828395,-0.12753666131597,0.0728126217943715,0.0681815177610892,-0.110761844419316,0.0285306434659809,0.0572673373781829,0.0785295174505695,-0.0282770747300966,0.153887281010113,-0.106791316767314,0.271582553256636,0.0628441433790151,0.015022424631207,0.0132224634271916,-0.0171882779533373,0.0250523858606833,0.0541784258538624,0.164827051698314,0.0742072477869519,-0.136085898969841,-0.206040812884618,0.175743295086821
"Glutamine",-0.202500714806669,-0.0599202323907257,1,-0.0260455409283892,-0.127894908674903,-0.129759203717323,-0.0828152465750818,0.183523055177861,-0.130312517054226,-0.0871377984595063,-0.0212397863056561,0.0292010757231494,0.0334855192155306,0.0627612588253659,0.0285230266335435,-0.124397952442735,-0.185532314169788,0.0289980644972645,0.119393775865628,-0.0158818794401077,0.141864386779764,0.00767908536926507,-0.0996444441465128,0.0729573284194925,0.160776841384769,0.080364119694012,-0.0842922469716663,-0.118010422483124,-0.0457277046028813,0.125827788815783,-0.0102064926256678,-0.0409735406292044,-0.0516908903821043,0.161830216444123,0.0400292651259518,-0.0172601542234603,-0.0245305398375214,0.0620903852010198,0.0937748841723741,-0.166850226470218,0.0179512466739504,0.0298836249126302,0.128519670972395,0.202307276773396,-0.0626411163708319,-0.00077767232753471,0.060960720158398,-0.139021098618367,0.0741714128945409,0.0514840281124913,-0.0399307068213519,0.140260310227465,0.0587918418974207,0.0628479047215938,0.000258743873862988,0.0640456230472438,0.133173557384852,0.101245699257863,0.0411274622094809,0.0970281682140928,0.115722740187541,-0.115816080788641,0.0182588519863893,-0.191099062615092,0.0944906550280001,-0.00622837079723906,-0.0370126994123318,0.0152113055772494,-0.0309751175609949,-0.217280632221762,0.00041074268944176,0.00608881465033382,0.0715019003791061,-0.0244652202590661,-0.0124224498377236,0.0238988505377601,0.0388001623503171,0.195895104142704,0.0122072359520043,-0.142654191900256,0.00197893498790675,-0.0909469732140732,-0.055829480970831,0.11127677035025,-0.0443660546486269,0.00124074872100932,-0.145434737975958,0.0357146359304587,0.0134801746018489,0.0478337765301222,0.0110321020336974,0.0695378004631364,-0.0662751906473778,0.0581334784000488,-0.135197626692593,0.0806012478662987,0.0689018139607703,0.0434957416762642,-0.115434304802022,-0.0206676170672564,0.117879956634683,-0.00415016123178402,-0.0537621634580296,0.104618771390055,0.0279236397245832,0.0407888950270234,0.188025301671751,-0.00766054279056874,0.0725660046729366,0.0661966731798613,-0.113254400753697,-0.0616673632654741,0.105951789299021,0.0475310189945991,-0.0653682379795628,0.0507004049583632,0.0333459949339073,0.033241810848484,-0.0335026641010266,0.101843107726112,0.138432756190096,-0.141921405873189,-0.0853023756518217,0.0189142073025552,-0.105362344016838,0.0482437205824511,0.0231499726527682,0.0824475526683254,-0.219362605315723,-0.00314818047891224,0.0621612464874938,-0.00223223894530013,-0.0512305165930655,0.141459577011115,0.154202546023274,-0.125968462802675
"Glutamate",-0.0411039385284935,0.011725989047699,-0.0260455409283891,1,-0.000771263655241439,-0.0587796513909496,-0.114474409545163,-0.0110227956912856,-0.137962166937517,-0.0227942913857632,0.0223476568077531,-0.141083791359316,0.0659209099728099,0.061978110083008,0.0172873049001305,0.072850717374383,0.106816789858291,-0.00974581368730683,0.121399756335345,0.0491610350955161,-0.108463066056532,-0.0294717052210952,-0.0621206182601151,0.0208592219612244,0.150039239142423,0.162219054383971,0.0354975255405267,0.102694579931751,0.0313864172394455,0.0398841324295321,0.0523157788768265,-0.0876450121421389,-0.114899053776671,0.0248848384368876,0.0489438686458487,0.0958719915800684,-0.18635553364493,-0.110877803116374,-0.114319923184333,-0.186645475276467,-0.0237685627712748,0.148420740216161,0.235253682475509,-0.0873322112780877,0.00351351925255925,0.249664975201839,0.0533437145227399,0.100331604282454,0.0160910358752859,0.0204175445995911,0.0274281815355756,-0.113593564976259,0.202575916519387,0.00328297769922333,0.137104018283755,-0.0515267746548827,0.140733378814061,-0.0411620969768695,0.20747831257732,0.0603547390069667,0.0250175165085705,-0.198488721920965,-0.00578905023375071,-0.141956535110037,0.0457916177755124,-0.119059829784659,-0.0750989077252182,0.0940931343174417,-0.072821320765675,-0.0679619367231315,0.148538787099132,0.056637328464727,0.0307266140749265,-0.104780090685716,0.071299676844939,0.0927461861645822,0.108942482544837,-0.053724698254956,-0.0422990676623602,-0.126509666230566,0.0367991125062057,-0.171380343105524,-0.059402747864291,0.0758799219050011,-0.0896677017209821,0.208382541566518,-0.139584946395763,0.13018531393138,-0.101469620365891,-0.010611040315135,0.0153770237274468,-0.000731665054077333,0.0245369420727538,-0.000519963747449154,-0.0312945274355235,0.0479049173317617,0.0749744875365748,-0.0477925174607226,-0.0795496328187066,0.0555956824542332,-0.107320722215247,-0.0261016169052253,0.100400912409289,-0.191819690439608,-0.0241864715607841,-0.0552103471427696,0.0692017905481667,0.146225094264981,0.130951623153908,0.0949368991464334,-0.0544755714241239,0.269406037197854,-0.0327806906615687,0.0342225596370022,-0.106704534276851,0.0411978869482216,0.103522212090509,-0.0917862843249651,-0.0936810167049118,0.0131897301906772,0.10055879845006,-0.00852360062718511,-0.0281006892026108,0.0189764921555406,-0.100040124668056,0.00695236782659443,-0.0708151723073281,0.00681670048404813,0.112996403056377,-0.0150925875874584,-0.0349987138350172,0.00793626200083589,-0.0176099701905699,0.0886998986597738,0.0089320239367489,0.111742971808534
"Pyroglutamine",-0.0229224823771058,-0.0633033391315761,-0.127894908674903,-0.000771263655241525,1,-0.0366317861006962,0.0566937387588781,-0.000763720276734202,-0.0508027877523378,-0.0220248882068556,-0.0220792854948038,-0.0988496676467186,-0.00993810017199692,-0.0377079388489695,-0.0533742601648724,-0.026782260462048,0.0904162631402687,-0.0360244729389586,0.0328901216766845,0.13793089104073,-0.0433152385053642,0.0345159146839498,0.0851250591565399,-0.0598531755021792,0.12498842624217,0.127631335425459,-0.00369205876250685,0.0194363403325193,-0.0301577161087061,0.0509083793399376,-0.0655010888340895,0.0460035368876022,-0.125245224557282,0.137245056165065,-0.0165276098320943,0.0080211375199424,-0.239555909084458,-0.0716800419274116,-0.0215500058648882,-0.0780112422737517,-0.0392733054158463,0.0234687039121045,0.0808100846552735,0.0553467040104752,-0.0801246948564723,0.0760342860554627,0.219059067240424,-0.0756479301835065,0.0999059776988294,0.166818880229496,-0.0194476959628456,-0.0485337375636807,-0.0742134515174622,0.156662037511306,0.0486548120052795,0.144575442382888,-0.0895040709167537,0.058008623428994,0.0782994215632322,0.0138589650843774,0.0532560186837462,0.0377473194060173,0.0838286994594387,-0.108494164850433,0.101706998135002,0.0205847242353071,-0.0203070002438539,-0.173049545199368,0.0887800649310989,0.0382016103909531,-0.044982653911775,-0.109369049791206,-0.0139173726170603,-0.07390965768879,-0.104165316603502,0.145174399870375,-0.0170617787157206,0.152288357070385,-0.0190587447481664,-0.0732769990897231,-0.160668432105216,-0.0160684159556438,-0.0608849589801063,-0.00918661228062801,0.0919053324649086,-0.0825482027731288,0.0746664380270183,-0.0550858240416564,0.147967558506265,0.0619069644980689,0.0251077375540267,0.19191322565213,-0.12950224722026,-0.131438756692015,-0.115894259072242,0.157872050286009,-0.116191846252353,-0.0560648250995061,0.0691210757007966,0.142637534681605,0.0723116228103034,-0.0803478732092376,-0.146110784470109,0.0508742028964705,-0.021587512578211,0.171975832980493,0.139729080177401,-0.107243381684793,-0.00134220296614412,0.118290615779019,0.0141325232613137,-0.0960001935931156,0.0869377571722417,-0.104058821857154,-0.167648229173858,-0.0516665335158734,0.162185073107052,-0.102800900717292,-0.0435343074305728,0.143673857979274,-0.0787505360871552,-0.0041839463410819,-0.0688657649007081,-0.132143046193032,0.018559834408906,-0.0415846322589464,-0.159211092577554,-0.254263342849381,-0.0396194892056599,-0.12699052582915,-0.121653914225629,-0.0311475289560829,-0.100366297226262,0.00788619643752472,-0.00636065299320267,-0.141219937201033
"Cysteine_glutathione_disulfide",-0.00862417258345316,0.0167600382274143,-0.129759203717322,-0.0587796513909498,-0.0366317861006964,1,-0.0207985708289035,0.00424417421542496,-0.12152829526737,0.0634246733774824,-0.0453029189204767,-0.0164592853017668,0.0483578953058212,-0.0525735113672952,0.1258297921409,-0.120017843227162,-4.23164521763337e-05,0.0551458218425586,0.247137791671021,-0.125638185280605,0.111219226160588,-0.0682320425848457,-0.0124188152285584,0.0455055188232089,0.000378353484021324,-0.0657532400173577,-0.124814095620175,0.0760765400429518,-0.0550074307027108,0.0517960572874844,0.0583693409727977,-0.0305674075597108,-0.081455749310707,-0.0031223463066153,-0.108391514679835,0.0507706105987362,-0.0293292733564508,-0.0451344679195296,0.105586372245875,0.167429899537387,-0.141244673587866,0.23301770582387,0.0979848036051167,0.0173581787954474,-0.0508049281686266,0.000778345504263434,0.0498992390067266,-0.118091719658751,0.021562872655004,-0.0984238073578329,-0.0636754439561282,-0.172131086249942,-0.0614596301799074,0.0574717595524162,0.0302175750533069,0.000612814779043329,0.0947080117988523,-0.00530076105201474,-0.0267516474804722,0.0767249749738321,-0.0606484775473805,-0.0372492849463155,0.176889269623715,-0.122942135215645,-0.116254133958623,-0.0258247395446019,0.108186937847655,0.027776739927439,0.034260961259165,-0.0248703772902924,0.0309983686381988,-0.00499281548417731,-0.179171137656206,0.0257089579117537,0.0498468541144111,-0.0938703842068274,-0.00439747073772008,-0.0248230846063957,0.0322943050106138,-0.00386146168008555,-0.00181252197750285,-0.128145268472714,-0.177904182923875,0.0281955301535308,-0.206782254121194,-0.0228242523826601,0.067104984572956,0.146630290275135,0.127425993001159,-0.185244212488905,0.0561954801060452,0.112649161383584,-0.083063195001954,-0.175935655281952,0.124105759674967,0.091135598304842,0.231829276830336,0.103465085518084,-0.00307560963695624,-0.0853668816519945,0.055985056961614,0.039791846392264,-0.1745090732115,0.024439547289873,-0.0474685247365342,-0.173698660101968,0.293872879594695,0.0254491621801788,-0.0362437270808062,-0.00595228482235544,-0.039947956187403,-0.0123037301238783,-0.0476431865910023,0.0711186955000427,0.0598753830293705,0.139406815119591,0.128295659768029,0.00282142523595275,-0.0280318426822467,-0.0917815251743383,-0.00625833853481598,0.0404043159043427,-0.087105517610933,-0.0318305444272898,-0.0424330136551416,0.0573886999390586,0.0647249348271543,-0.0576943503092157,-0.061776609727607,0.0168793766309517,-0.0271038325543993,-0.0636814181491892,-0.0801858945096243,0.214099423297042,0.0578351246226523,-0.021187105587347
"Cys_gly_oxidized",-0.0917922935737498,0.00531251537433512,-0.0828152465750819,-0.114474409545163,0.0566937387588782,-0.0207985708289036,1,0.0866635121147942,-0.00886390408838021,-0.0420846375617748,-0.169624742936667,-0.0735910699568672,-0.053597514014696,0.0326813036983738,0.178196488124,-0.0344123410388469,-0.131144210301266,0.0251738242868501,0.103695717199178,-0.00540777684726358,0.0769839184341851,-0.0261049087667321,-0.051821807672337,0.135516226836706,-0.0688033156220348,0.0327382960316734,0.0173328582386304,0.133192654241248,0.00847052231831164,-0.132815154970041,-0.00910770322021897,-0.0416923253255737,0.0487115238343946,-0.0808507318271018,-0.162908088175005,0.0191214354538593,-0.0532392320090571,0.0956358371766547,-0.0326650349870013,-0.0118113017237273,0.213344557846588,-0.0687461693368069,0.0919997164286499,0.0154407313466239,0.163248659050703,-0.0766369955888411,0.0216439574578828,-0.0243747752069051,-0.0192626322855118,0.0761418772052956,0.188295101370342,0.143476302046294,0.0178894864561674,-0.113073083142846,0.0114738135764906,-0.103483884782409,-0.024732764949402,0.00565408750078747,-0.136421419624938,0.024953440939535,-0.00749670115670167,-0.0358934848645385,-0.0217517485500023,0.0808320531382306,0.0380803265959177,0.0369191150901071,-0.0557641853096918,-0.151631375103136,-0.159101801488483,0.089343002308518,-0.0788572629535154,0.0267985763066635,-0.0231955839327913,-0.0375305188833071,0.0207846239846361,-0.00800642172151138,0.058636750475208,0.10038260417571,-0.1162174264548,-0.00496285963721827,0.114608071551207,0.122026486862985,0.0694806164400988,0.105290828794368,0.0795850117109637,0.0523044002489341,-0.106958073574052,-0.0230611499039456,-0.118301553811852,0.0172576722780324,-0.0593721401427893,-0.0900436231085072,0.00899429882569617,-0.0630526138037945,-0.0255053948072034,-0.0546339228851616,0.14605936953809,-0.122303152677057,0.0591525234155212,0.0551447199449675,-0.128459506690279,0.073568078832797,-0.0369541739998301,0.0656292653236156,0.0993008157289236,-0.019695260661496,0.0520090411467533,-0.029015567226665,0.00690138451555951,-0.188529561796729,-0.139964008059074,0.122669966978083,0.0105032217220516,-0.131453359032916,0.0394207708448049,0.130995242378134,0.0425438153154199,-0.00292526127567404,-0.158013012128065,-0.100588023062757,0.0220448126411068,0.0402355596212224,0.123629090965532,0.0588562910270461,0.0360296678386859,-0.113033434473697,0.0477657157761702,0.0812257868254413,-0.160789902709054,0.000945675193617619,0.00141665619024839,-0.0816575437292387,0.1112870962175,-0.0801592902490374,0.119134181752637,-0.055842885889061
"Pipecolate",0.139890704154762,-0.0393205443504175,0.183523055177861,-0.0110227956912855,-0.000763720276734384,0.00424417421542494,0.0866635121147944,1,0.0344343116756484,-0.0375295504668649,0.135733000835411,0.132126810978231,0.0427498972212577,-0.0214584127513347,-0.108529700889904,0.178183361253595,0.0390253516730774,-0.0128056737473089,0.0212748583235577,0.110644845913062,-0.139669192464732,-0.0170101748549188,0.0216093898961697,0.0554917415125659,-0.126536036353783,-0.129096209014603,0.223808803599309,-0.0593046646291151,-0.00422296576526175,0.130375413158109,0.0473614748912713,-0.0191713472499717,-0.0461960658099829,0.0210406560933418,-0.0708592780995829,-0.165870813441738,0.0480906323548626,-0.161290607854675,-0.0218371285991584,0.110955450548526,-0.132120424328981,-0.0604029239744711,0.036329787541072,0.0287166589319263,0.0677638725746582,0.0771680116094365,0.11557096460252,0.127789488369915,-0.0914961624201672,0.013142760225385,-0.0431037219449198,-0.263405795334864,-0.0223467924250646,0.0751474725755892,0.0725282599133511,0.0856317248183873,-0.214792900373202,0.0427067770441248,0.0539555408281674,0.0598807566879297,0.0915634283959744,0.046453287137943,0.159985330288193,0.0275047513568636,-0.109287351615073,0.149755166595232,0.170011202646939,-0.128047760505371,0.12921448354108,0.0418931627105793,0.0175594735146446,-0.00726755457104645,-0.0242113517981063,0.151380496437902,-0.0217028510367257,-0.018573335967408,-0.00598023304091165,0.103883323624294,0.0388468709232923,-0.0672709956594795,0.0767259810578928,-0.12356042800591,0.111360634127343,0.0220827746415369,0.0796619389484041,-0.0374660663399235,0.128811728509556,-0.0326681849989327,-0.0132940652181563,0.0399224961523242,-0.227519014888584,0.0872065150766319,0.0261163203941601,-0.114237210535008,-0.0504822218235463,0.0807679662992003,-0.0812202716380633,0.190490656785711,0.00123068753231515,-0.0777453201159912,-0.124010195419623,-0.0757959593113495,0.0684605984362498,-0.0548687233921415,0.0707069178090632,0.125513230948284,-0.0928516865820621,0.0601061429065124,-0.102734600374432,-0.018101281818864,0.165303931015472,-0.00449946994039516,0.152451134152148,0.00156802354647408,-0.0997705074834804,0.0614956635106462,0.000622419730424734,0.0817424081248157,0.0629341160087631,-0.107074198701169,-0.0677728581546835,-0.0691478301856106,-0.0457935666709484,-0.0155380710777159,0.0566968958321147,-0.0362384033633886,-0.135229073739023,0.0965518740531955,0.0650499428967947,-0.0485101130164546,0.000727397522983217,0.00898450577040472,0.040286163717878,-0.130641347917499,0.0423869857180583,0.106849631408875
"S_adenosylhomocysteine",0.0705162725234124,-0.153178176152901,-0.130312517054226,-0.137962166937517,-0.050802787752338,-0.12152829526737,-0.00886390408838013,0.0344343116756483,1,-0.151030974984006,-0.142506923069887,-0.0742827497169158,-0.0991323547294126,0.118678088652866,-0.132485724538655,0.0679332011096138,0.124125336639787,0.00516744017287906,0.0943601739325332,-0.116785226576651,0.00475840414534908,0.0711091869354774,-0.00609858060923236,-0.0387666750381751,0.0449738828405087,0.164975361076075,0.0777537798448845,0.0913437014958645,0.0820619364231333,0.0700446887543011,-0.0249276759201195,-0.124081300560318,-0.21321220113677,-0.0691903543697584,0.00160781375888798,-0.0656453442225608,-0.123422039097311,0.0424323077846738,0.0848857743829855,-0.0127161007295569,-0.146071456066365,0.0119388954672422,0.045435393234872,-0.151829645576804,-0.175979715874644,-0.153006769741888,-0.158978314391952,0.00330298477838026,-0.0592774139208213,-0.0862590825455621,0.00898465069633282,0.0659119387599349,-0.0606331340859337,0.0376415137301804,-0.0482595434436362,0.0829897993317933,0.307035606001794,0.0198392299428953,0.136088659028612,0.0897593106117476,-0.00365923783660892,-0.0741323752015662,-0.0644205292631899,-0.0589674980923375,0.00477475705456304,0.0379837841143918,-0.00995885216757198,0.0593331777633521,-0.053014159441207,-0.0928232788651399,-0.109855620417907,-0.00342346570885538,-0.0536302944468456,-0.107002080552167,-0.173234991827374,-0.0468759170075646,0.0972507568131973,-0.078991975242005,0.180447374423725,-0.118448044274067,-0.204588005932904,0.0334025442303134,0.0306595315311466,-0.110963587899575,-0.135885992833202,0.109857625017295,0.00560567238346048,0.160009190174914,-0.0157573787877255,-0.0532049660288396,-0.142074623985615,0.103342859043451,-0.0386835934055184,0.0806419066750622,0.0248168179452549,-0.237135764775957,0.0733388096671247,0.0381339441177648,-0.0585799612870349,0.100854449629869,-0.058435873949025,-0.187803099888151,-0.0257000361010921,-0.0538243594160323,0.0861563461022898,-0.041869558159232,0.108737339063358,-0.0563437706741324,0.124863697862114,0.223257489726653,-0.135930426151505,0.103935195219918,-0.0601632946024285,-0.099237158565854,-0.181051436592654,-0.130597449489087,0.0342403549945486,-0.137885739414953,-0.0944405666275732,0.0685257199033762,0.0713945092742579,-0.217928893848059,0.110610845839341,0.225549404041854,-0.106659321499623,0.0682739048338652,0.0696370041358399,0.00150378959558422,0.103408442743389,-0.0761371067776522,-0.0476518618213665,0.105532623828464,-0.0784867281750358,-0.122726401164206,-0.0190176191813181,-0.0304812154212279
"N_acetyltaurine",0.0773237591985133,-0.019386051144287,-0.0871377984595065,-0.0227942913857633,-0.0220248882068557,0.0634246733774823,-0.0420846375617747,-0.0375295504668649,-0.151030974984006,1,-0.0453455499865523,0.027797080110644,-0.173800555667604,0.225264142579602,-0.227684513544744,-0.027788457646965,0.0585150758238128,0.0473497904746158,0.073596252360821,-0.0539161333945222,-0.0777720277145645,-0.019345553118388,0.0455677010271811,-0.187084611731991,0.0306713079826788,0.102335130506116,0.0814069833142365,0.00286560408979781,-0.036747018116894,0.107139407091043,-0.115043547243275,0.04015517800093,0.0913388185035563,0.266003443365754,0.0606406826685271,-0.106036232846964,-0.19675545465,0.0250076733811789,-0.0178502794294245,-0.0185960036021262,-0.0588863280867201,0.0650195406929393,0.053551324774559,-0.0573876097967965,0.0652811284672785,-0.0661719749063151,0.101534160003916,0.0470363065487886,-0.051207434192656,0.146007469973181,-0.106317535253518,0.0511971815862759,0.00801070390764085,0.126834892839315,0.0660883267719056,0.0726322119808918,0.0976347456789001,-0.0806029627690536,-0.00490277179300254,0.0799504058852082,-0.0444642999323982,0.0381654167453347,0.0645959136863731,-0.0505276874526675,-0.0851794311634295,0.0838388987207805,-0.00697870799499667,-0.0877806104267126,-0.122425326415107,-0.25282990526463,-0.224329366757586,-0.10248903059813,-0.0126045056539443,0.118793349976225,0.0394595340699351,0.13438252813838,-0.0904349834037638,0.0639353531764349,-0.00681279239861037,0.00646908295305575,-0.0548307831604545,0.114230036144327,-0.0646673406488222,-0.0170126559145905,-0.0894098363769723,0.0220041957767672,-0.061310877967835,-0.107285597578367,0.130538283100897,-0.0790613932915655,-0.196989845948394,0.0451433137602444,-0.0731083540392721,0.0510965887103835,-0.0336820916044845,-0.00172387663521326,-0.0427521731484235,0.0652603116821871,0.0130708455153191,-0.00655358147036891,-0.0179873068196836,0.0267017090439311,-0.114484102940211,-0.0508310105881266,0.0380532795064375,0.00613944805852776,0.162311954604986,0.0920926969008753,0.0977136944903773,0.046383698794147,0.0232981372204973,-0.0250468599178655,0.0139696032301496,0.170684038164341,-0.109876657308564,-0.0178063391182054,0.0462451252189355,-0.0176363929165864,-0.0670038960180135,0.0783102975405474,-0.040234666726245,-0.204689595954401,-0.03051095246807,0.1527480712229,-0.0216567246151934,-0.0664639380985703,-0.107220665375383,-0.0522805136785658,0.187738171434196,-0.0059984679102228,-0.0371980395218647,-0.117356878718361,-0.0779706948947012,-0.102996896050282,0.0101389269484569,0.0620134550137233
